dataset,seed,patient_idx,method,success,latency_sec,cvr_hard,cvr_full,effort,kde
nhanes,0,3,DiCE,True,0.0018318339716643095,1.0,1.0,5.22102165222168,-9.419755912022836
nhanes,0,3,FACE,True,0.052549874992109835,0.0,1.0,6.642799377441406,-7.502224164718264
nhanes,0,3,GrowingSpheres,True,0.0011381249641999602,1.0,1.0,7.057119663195936,-10.024783682183084
nhanes,0,17,DiCE,True,0.0012960419990122318,1.0,1.0,3.1679625511169434,-10.420987700214594
nhanes,0,17,FACE,True,0.04526924999663606,0.0,0.0,5.130752086639404,-8.10747065234691
nhanes,0,17,GrowingSpheres,True,0.0005443330155685544,1.0,1.0,3.837199871901263,-11.296400181532894
nhanes,0,22,DiCE,True,0.0010867500095628202,1.0,1.0,2.791032314300537,-8.282095483796148
nhanes,0,22,FACE,True,0.044861292000859976,0.0,1.0,4.879624366760254,-7.33142395255685
nhanes,0,22,GrowingSpheres,True,0.0004992909962311387,1.0,1.0,1.9886894746035464,-8.042359258016083
nhanes,0,23,DiCE,True,0.0021281670196913183,1.0,1.0,6.6121931076049805,-12.412697692657959
nhanes,0,23,FACE,True,0.04535195796051994,1.0,1.0,7.776250839233398,-8.764882615318687
nhanes,0,23,GrowingSpheres,True,0.0010386659996584058,1.0,1.0,7.8040324483123324,-12.29725967980381
nhanes,0,26,DiCE,True,0.0012964580091647804,1.0,1.0,3.6050024032592773,-8.7802467506823
nhanes,0,26,FACE,True,0.04534299997612834,1.0,1.0,5.529423236846924,-8.039282804570538
nhanes,0,26,GrowingSpheres,True,0.0005279580364003778,1.0,1.0,3.474966247329216,-9.281668187994521
nhanes,0,28,DiCE,True,0.0012317500077188015,1.0,1.0,3.4452152252197266,-8.617803607878175
nhanes,0,28,FACE,True,0.045039374963380396,1.0,1.0,4.076389789581299,-7.918800011813322
nhanes,0,28,GrowingSpheres,True,0.0004012910067103803,1.0,1.0,2.1706707910702616,-8.798782679113945
nhanes,0,30,DiCE,True,0.0017002500244416296,1.0,1.0,5.243204116821289,-9.252021249775233
nhanes,0,30,FACE,True,0.045203583023976535,1.0,1.0,6.21523380279541,-7.946740869358128
nhanes,0,30,GrowingSpheres,True,0.0008014579652808607,1.0,1.0,5.385516351653297,-9.80578491122767
nhanes,0,34,DiCE,True,0.0023042919929139316,1.0,1.0,5.822410583496094,-9.801485801275133
nhanes,0,34,FACE,True,0.04629883298184723,1.0,1.0,7.1021809577941895,-8.923841861371955
nhanes,0,34,GrowingSpheres,True,0.001022250042296946,1.0,1.0,6.2172070491211375,-10.515806239461222
nhanes,0,37,DiCE,True,0.00265708303777501,1.0,1.0,7.056958198547363,-8.118526156508537
nhanes,0,37,FACE,True,0.04526058305054903,1.0,1.0,6.37869930267334,-7.48000918693014
nhanes,0,37,GrowingSpheres,True,0.0009773749625310302,1.0,1.0,7.426074331219376,-8.109586421779806
nhanes,0,38,DiCE,True,0.0017381670186296105,1.0,1.0,4.151004791259766,-9.104361508107656
nhanes,0,38,FACE,True,0.045151625003200024,1.0,1.0,3.334507465362549,-8.395833351940022
nhanes,0,38,GrowingSpheres,True,0.0005802499945275486,1.0,1.0,4.288449849481323,-9.171855541509958
nhanes,0,44,DiCE,True,0.0013502920046448708,1.0,1.0,3.8710103034973145,-8.01346612838623
nhanes,0,44,FACE,True,0.04518004198325798,1.0,1.0,4.110101222991943,-7.96829674756018
nhanes,0,44,GrowingSpheres,True,0.0005905000143684447,1.0,1.0,3.331563706589111,-8.719643023980906
nhanes,0,46,DiCE,True,0.0021947920322418213,1.0,1.0,6.279026985168457,-8.45694826646366
nhanes,0,46,FACE,True,0.04497191699920222,1.0,1.0,5.847220420837402,-8.020233586765857
nhanes,0,46,GrowingSpheres,True,0.0007685829768888652,1.0,1.0,7.587424519697126,-8.386368255756535
nhanes,0,48,DiCE,True,0.0015872499789111316,1.0,1.0,4.640296936035156,-9.535420221793293
nhanes,0,48,FACE,True,0.04559070902178064,1.0,1.0,4.786471366882324,-8.49658815020753
nhanes,0,48,GrowingSpheres,True,0.0007620830438099802,1.0,1.0,4.912930293676709,-10.12121262217545
nhanes,0,49,DiCE,True,0.0011987080215476453,1.0,1.0,3.5864408016204834,-8.853456201651635
nhanes,0,49,FACE,True,0.04567658301675692,1.0,1.0,6.11997127532959,-8.125855724061495
nhanes,0,49,GrowingSpheres,True,0.0005424169939942658,1.0,1.0,3.6827152157547394,-9.995714788774114
nhanes,0,51,DiCE,True,0.002758875023573637,1.0,1.0,5.876888275146484,-10.42861955325396
nhanes,0,51,FACE,True,0.047968083003070205,1.0,1.0,6.387636184692383,-8.384550116105626
nhanes,0,51,GrowingSpheres,True,0.00115387502592057,1.0,1.0,9.255127802424717,-9.478101139818367
nhanes,0,54,DiCE,True,0.0017810420249588788,1.0,1.0,5.172181129455566,-9.49435054333167
nhanes,0,54,FACE,True,0.04533929197350517,1.0,1.0,3.2722373008728027,-8.010549886145512
nhanes,0,54,GrowingSpheres,True,0.0007192499469965696,1.0,1.0,6.1887438094272715,-7.954694021981041
nhanes,0,58,DiCE,False,0.014187624969054013,,,,
nhanes,0,58,FACE,True,0.04502912500174716,0.0,0.0,12.80925464630127,-8.384550116105626
nhanes,0,58,GrowingSpheres,True,0.001225625048391521,1.0,1.0,9.926481684589909,-13.832730236953603
nhanes,0,59,DiCE,True,0.0012885000323876739,1.0,1.0,3.5411059856414795,-9.940342589364848
nhanes,0,59,FACE,True,0.044818875030614436,0.0,0.0,6.994731903076172,-9.057573019001019
nhanes,0,59,GrowingSpheres,True,0.0005032499902881682,1.0,1.0,3.6310802482271347,-11.484763983486731
nhanes,0,61,DiCE,True,0.004533792030997574,1.0,1.0,8.11398983001709,-11.742719101202809
nhanes,0,61,FACE,True,0.04524666699580848,1.0,1.0,8.170022010803223,-8.75347488510924
nhanes,0,61,GrowingSpheres,True,0.0010608750162646174,1.0,1.0,8.616168693182717,-12.746805374789254
nhanes,0,62,DiCE,True,0.0025240000104531646,1.0,1.0,6.974778652191162,-9.457264691873323
nhanes,0,62,FACE,True,0.04718212498119101,1.0,1.0,5.915270805358887,-8.70591739432741
nhanes,0,62,GrowingSpheres,True,0.0010445420048199594,1.0,1.0,8.00490780416835,-9.86520196880033
nhanes,0,63,DiCE,True,0.001277624978683889,1.0,1.0,3.1811654567718506,-9.701040051232507
nhanes,0,63,FACE,True,0.04559058300219476,1.0,1.0,4.2112040519714355,-8.390642485735155
nhanes,0,63,GrowingSpheres,True,0.0005522090359590948,1.0,1.0,3.009086232620447,-9.933109399769195
nhanes,0,65,DiCE,True,0.002562709036283195,1.0,1.0,6.637689590454102,-9.237135821697505
nhanes,0,65,FACE,True,0.048085999966133386,1.0,1.0,6.817148208618164,-8.802299792740152
nhanes,0,65,GrowingSpheres,True,0.0008764169760979712,1.0,1.0,6.6985791049736,-11.152077254277494
nhanes,0,66,DiCE,True,0.001810958026908338,1.0,1.0,4.8963704109191895,-11.922380539130643
nhanes,0,66,FACE,True,0.0456870420021005,1.0,1.0,4.907573699951172,-8.883478725343338
nhanes,0,66,GrowingSpheres,True,0.0006302500260062516,1.0,1.0,3.467136388988152,-15.164568875611339
nhanes,0,72,DiCE,True,0.003327874990645796,1.0,1.0,8.647201538085938,-9.72215803209648
nhanes,0,72,FACE,True,0.045205292000900954,1.0,1.0,7.975777626037598,-8.70591739432741
nhanes,0,72,GrowingSpheres,True,0.0012435000389814377,1.0,1.0,10.724234238926112,-10.506113797891778
nhanes,0,75,DiCE,True,0.0015018340200185776,1.0,1.0,4.274230480194092,-8.666603625668714
nhanes,0,75,FACE,True,0.04495491599664092,0.0,1.0,5.868953227996826,-7.502224164718264
nhanes,0,75,GrowingSpheres,True,0.0005908750463277102,1.0,1.0,4.642264901324504,-7.864680196882189
nhanes,0,82,DiCE,True,0.0015681670047342777,1.0,1.0,4.5713300704956055,-11.250651134007795
nhanes,0,82,FACE,True,0.04503270803252235,0.0,1.0,6.781665802001953,-8.421317231456445
nhanes,0,82,GrowingSpheres,True,0.0006938339793123305,1.0,1.0,4.951646355584634,-10.014025368147783
nhanes,0,83,DiCE,True,0.0019032920245081186,1.0,1.0,5.383979320526123,-9.353632006524133
nhanes,0,83,FACE,True,0.04493008303688839,1.0,1.0,6.068470001220703,-8.517508772162477
nhanes,0,83,GrowingSpheres,True,0.0006934580160304904,1.0,1.0,6.076234362549442,-9.818349580664053
nhanes,0,90,DiCE,True,0.0032269589719362557,1.0,1.0,6.757557392120361,-9.725016550474184
nhanes,0,90,FACE,True,0.044884542003273964,1.0,1.0,6.519712448120117,-8.18855130747077
nhanes,0,90,GrowingSpheres,True,0.0008572499500587583,1.0,1.0,8.215403139004742,-10.57223505395641
nhanes,0,98,DiCE,True,0.0012072920217178762,1.0,1.0,3.461113929748535,-11.192066999828876
nhanes,0,98,FACE,True,0.04529379098676145,0.0,0.0,6.829272747039795,-8.125855724061495
nhanes,0,98,GrowingSpheres,True,0.00039245799416676164,1.0,1.0,1.3972271670426437,-11.625846282021818
nhanes,0,102,DiCE,True,0.001771375013049692,1.0,1.0,4.951364517211914,-8.019003239160584
nhanes,0,102,FACE,True,0.045313124952372164,0.0,1.0,6.880423545837402,-7.502224164718264
nhanes,0,102,GrowingSpheres,True,0.0007178329979069531,1.0,1.0,5.575565256067463,-8.859958650732256
nhanes,0,103,DiCE,True,0.0019217919907532632,1.0,1.0,5.517037391662598,-7.765603868248688
nhanes,0,103,FACE,True,0.046758499986026436,1.0,1.0,6.048147201538086,-8.380118006052449
nhanes,0,103,GrowingSpheres,True,0.0007180829998105764,1.0,1.0,6.694390025215354,-9.16174225145437
nhanes,0,104,DiCE,True,0.0013705419842153788,1.0,1.0,3.672044515609741,-10.226060444697044
nhanes,0,104,FACE,True,0.04647274996386841,0.0,1.0,5.8017401695251465,-8.742297240110073
nhanes,0,104,GrowingSpheres,True,0.0005636249552480876,1.0,1.0,3.711397473361326,-11.06003669767684
nhanes,0,115,DiCE,True,0.003900499956216663,1.0,1.0,8.444751739501953,-8.584397430780209
nhanes,0,115,FACE,True,0.04741612501675263,1.0,1.0,6.705054759979248,-7.884366532940582
nhanes,0,115,GrowingSpheres,True,0.00104358303360641,1.0,1.0,8.918807792797676,-9.301606587226722
nhanes,0,117,DiCE,True,0.001703375019133091,1.0,1.0,4.966096878051758,-8.471415657013354
nhanes,0,117,FACE,True,0.044789709034375846,1.0,1.0,5.30816125869751,-7.9225684452316205
nhanes,0,117,GrowingSpheres,True,0.0006157089956104755,1.0,1.0,4.985643865426446,-7.290467893306407
nhanes,0,125,DiCE,True,0.0013721249997615814,1.0,1.0,4.094457626342773,-9.17452455568614
nhanes,0,125,FACE,True,0.04521941702114418,1.0,1.0,5.661592960357666,-8.539813972172997
nhanes,0,125,GrowingSpheres,True,0.000562832981813699,1.0,1.0,4.1182926824378505,-9.199755798904588
nhanes,0,131,DiCE,True,0.001193458039779216,1.0,1.0,3.5227773189544678,-9.488722052875042
nhanes,0,131,FACE,True,0.04532262502470985,0.0,0.0,4.1188249588012695,-8.559988277293478
nhanes,0,131,GrowingSpheres,True,0.0004185840371064842,1.0,1.0,3.0474952755615856,-9.845554646768608
nhanes,0,133,DiCE,True,0.001942583010531962,1.0,1.0,5.53608512878418,-9.353277630613531
nhanes,0,133,FACE,True,0.04697279096581042,1.0,1.0,5.172580242156982,-7.938358100622731
nhanes,0,133,GrowingSpheres,True,0.000813291990198195,1.0,1.0,5.987906622363117,-9.679578463970708
nhanes,0,138,DiCE,True,0.0019510830170474946,1.0,1.0,4.317712783813477,-9.900323952101434
nhanes,0,138,FACE,True,0.045100958028342575,1.0,1.0,5.298828601837158,-7.750958985714703
nhanes,0,138,GrowingSpheres,True,0.0006052909884601831,1.0,1.0,4.405298181709044,-9.839313277353753
nhanes,0,140,DiCE,True,0.0013503750087693334,1.0,1.0,3.464261531829834,-10.072871374943954
nhanes,0,140,FACE,True,0.04555450001498684,1.0,1.0,4.370963096618652,-8.410078677726483
nhanes,0,140,GrowingSpheres,True,0.00048341602087020874,1.0,1.0,3.3590444186221093,-9.465068700058604
nhanes,0,141,DiCE,True,0.0019678330281749368,1.0,1.0,4.570821762084961,-9.280157456228402
nhanes,0,141,FACE,True,0.04502583300927654,1.0,1.0,4.7456231117248535,-8.384550116105626
nhanes,0,141,GrowingSpheres,True,0.0006888749776408076,1.0,1.0,3.5938950329218575,-9.273262881236194
nhanes,0,144,DiCE,True,0.0012279169750399888,1.0,1.0,2.65682315826416,-11.002027153477545
nhanes,0,144,FACE,True,0.045136625005397946,0.0,1.0,5.358392238616943,-8.75347488510924
nhanes,0,144,GrowingSpheres,True,0.00040929100941866636,1.0,1.0,2.769829986500338,-10.826158640960257
nhanes,0,145,DiCE,True,0.0031117500038817525,1.0,1.0,7.8664093017578125,-8.875502222126537
nhanes,0,145,FACE,True,0.045269208028912544,1.0,1.0,7.97495174407959,-7.48000918693014
