    dataset             feature  mae_v2_original_decoder  mae_v3_typeaware_decoder  is_binary_or_categorical  decoded_accuracy_v2_original_decoder  decoded_accuracy_v3_typeaware_decoder
        uci                 age                   6.8319                    1.6327                     False                                   NaN                                    NaN
        uci                 sex                   0.5077                    0.4480                      True                                0.4177                                 0.6751
        uci fasting_blood_sugar                   0.1687                    0.3121                      True                                0.8692                                 0.8692
        uci          resting_bp                  12.4335                   11.9177                     False                                   NaN                                    NaN
        uci         cholesterol                  38.7663                   38.2507                     False                                   NaN                                    NaN
        uci      max_heart_rate                  16.8387                   16.4949                     False                                   NaN                                    NaN
        uci             oldpeak                   0.8681                    0.8709                     False                                   NaN                                    NaN
        uci     exercise_angina                   0.3682                    0.4278                      True                                0.6920                                 0.6920
        uci               slope                   0.5182                    0.5182                      True                                0.4726                                 0.5485
nhanes_real                 age                   4.1207                    0.7172                     False                                   NaN                                    NaN
nhanes_real                 sex                   0.4741                    0.4600                      True                                0.6238                                 0.6819
nhanes_real         systolic_bp                   6.1330                    6.2288                     False                                   NaN                                    NaN
nhanes_real        diastolic_bp                   3.9705                    4.1883                     False                                   NaN                                    NaN
nhanes_real         cholesterol                  16.7192                   18.7157                     False                                   NaN                                    NaN
nhanes_real                 bmi                   3.1249                    3.1194                     False                                   NaN                                    NaN
nhanes_real      glycemic_hba1c                   0.3970                    0.4291                     False                                   NaN                                    NaN
