patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
1,False,,,,,,,,,,0.011480041954200715,nhanes_real,0,riemannian,hard,,riemannian_hard
2,False,,,,,,,,,,0.010924458038061857,nhanes_real,0,riemannian,hard,,riemannian_hard
5,True,1.0,"[3631, 2525]",1.2550716400146484,0.0,True,True,"{""immutable"": true, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.668424878540819,3.477614402770996,0.010796124988701195,nhanes_real,0,riemannian,hard,,riemannian_hard
6,True,1.0,"[3631, 964]",0.9967790842056274,0.0,True,True,"{""immutable"": true, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.359617161851603,4.327218055725098,0.011540249979589134,nhanes_real,0,riemannian,hard,,riemannian_hard
7,False,,,,,,,,,,0.011707208002917469,nhanes_real,0,riemannian,hard,,riemannian_hard
8,False,,,,,,,,,,0.010562249983195215,nhanes_real,0,riemannian,hard,,riemannian_hard
9,True,1.0,"[3631, 3118]",1.2499014139175415,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.025321982765162,3.4944841861724854,0.010893667000345886,nhanes_real,0,riemannian,hard,,riemannian_hard
11,False,,,,,,,,,,0.01111129199853167,nhanes_real,0,riemannian,hard,,riemannian_hard
12,True,1.0,"[3631, 3118]",2.3705668449401855,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.219849162987279,7.428253173828125,0.01080883399117738,nhanes_real,0,riemannian,hard,,riemannian_hard
13,False,,,,,,,,,,0.011150165984872729,nhanes_real,0,riemannian,hard,,riemannian_hard
14,False,,,,,,,,,,0.010714042000472546,nhanes_real,0,riemannian,hard,,riemannian_hard
17,True,1.0,"[3631, 3118]",2.11552095413208,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.093970969461391,6.540358543395996,0.010481041972525418,nhanes_real,0,riemannian,hard,,riemannian_hard
21,False,,,,,,,,,,0.010845042008440942,nhanes_real,0,riemannian,hard,,riemannian_hard
22,True,1.0,"[3631, 1774]",1.1837494373321533,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.77207451315652,4.828220844268799,0.010766917024739087,nhanes_real,0,riemannian,hard,,riemannian_hard
23,True,1.0,"[3631, 3118]",1.729852318763733,0.0,True,True,"{""immutable"": true, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-7.005133807177945,5.358070373535156,0.010286499978974462,nhanes_real,0,riemannian,hard,,riemannian_hard
26,True,1.0,"[3631, 2498]",0.8382891416549683,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.990254131701558,2.980567455291748,0.010269624995999038,nhanes_real,0,riemannian,hard,,riemannian_hard
30,True,1.0,"[3631, 3118]",1.7559067010879517,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.986913257716732,5.501353740692139,0.010871417005546391,nhanes_real,0,riemannian,hard,,riemannian_hard
31,True,1.0,"[3631, 2542]",1.0045675039291382,0.0,True,True,"{""immutable"": true, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.494637765498814,4.342744827270508,0.010839958966244012,nhanes_real,0,riemannian,hard,,riemannian_hard
38,False,,,,,,,,,,0.011456582986284047,nhanes_real,0,riemannian,hard,,riemannian_hard
39,True,1.0,"[3631, 2143]",0.19700217247009277,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.033303514940081,0.5518128871917725,0.010751624999102205,nhanes_real,0,riemannian,hard,,riemannian_hard
41,False,,,,,,,,,,0.010887790995184332,nhanes_real,0,riemannian,hard,,riemannian_hard
42,False,,,,,,,,,,0.010400708997622132,nhanes_real,0,riemannian,hard,,riemannian_hard
45,True,1.0,"[3631, 3118]",3.097104549407959,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.611719737528566,8.911017417907715,0.010834541986696422,nhanes_real,0,riemannian,hard,,riemannian_hard
47,False,,,,,,,,,,0.011047041043639183,nhanes_real,0,riemannian,hard,,riemannian_hard
51,True,1.0,"[3631, 2525]",2.2679214477539062,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-6.936459863985059,6.463634967803955,0.0113004160230048,nhanes_real,0,riemannian,hard,,riemannian_hard
53,True,1.0,"[3631, 3617]",1.31146240234375,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.312865067193477,4.956171989440918,0.01228683302178979,nhanes_real,0,riemannian,hard,,riemannian_hard
54,False,,,,,,,,,,0.013467125012539327,nhanes_real,0,riemannian,hard,,riemannian_hard
56,False,,,,,,,,,,0.010249624960124493,nhanes_real,0,riemannian,hard,,riemannian_hard
60,False,,,,,,,,,,0.012582791969180107,nhanes_real,0,riemannian,hard,,riemannian_hard
61,False,,,,,,,,,,0.014022999966982752,nhanes_real,0,riemannian,hard,,riemannian_hard
62,False,,,,,,,,,,0.01229016704019159,nhanes_real,0,riemannian,hard,,riemannian_hard
63,True,1.0,"[3631, 3617]",0.6017203330993652,0.0,True,True,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.198113767538994,2.152906894683838,0.011886666994541883,nhanes_real,0,riemannian,hard,,riemannian_hard
64,False,,,,,,,,,,0.012928584008477628,nhanes_real,0,riemannian,hard,,riemannian_hard
65,True,1.0,"[3631, 638]",1.5783588886260986,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.493155267430146,6.2465314865112305,0.01277633395511657,nhanes_real,0,riemannian,hard,,riemannian_hard
67,False,,,,,,,,,,0.012230209016706795,nhanes_real,0,riemannian,hard,,riemannian_hard
68,False,,,,,,,,,,0.011955249996390194,nhanes_real,0,riemannian,hard,,riemannian_hard
70,False,,,,,,,,,,0.011859958991408348,nhanes_real,0,riemannian,hard,,riemannian_hard
72,False,,,,,,,,,,0.01209966599708423,nhanes_real,0,riemannian,hard,,riemannian_hard
74,True,2.0,"[3631, 1188, 2542]",3.2862853705883026,0.0,True,True,"{""immutable"": true, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-6.74851620654584,9.706853866577148,0.013109833002090454,nhanes_real,0,riemannian,hard,,riemannian_hard
76,False,,,,,,,,,,0.012640041997656226,nhanes_real,0,riemannian,hard,,riemannian_hard
78,True,1.0,"[3631, 2364]",1.3105485439300537,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-8.222953131298706,5.631673812866211,0.01362425001570955,nhanes_real,0,riemannian,hard,,riemannian_hard
79,True,1.0,"[3631, 388]",1.2487170696258545,0.0,True,True,"{""immutable"": true, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-6.860885211422896,5.280768871307373,0.011369541985914111,nhanes_real,0,riemannian,hard,,riemannian_hard
80,True,1.0,"[3631, 3468]",5.593349456787109,0.0,True,True,"{""immutable"": true, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": true}",-10.802826342322218,20.207881927490234,0.013340541976504028,nhanes_real,0,riemannian,hard,,riemannian_hard
83,False,,,,,,,,,,0.011260166007559747,nhanes_real,0,riemannian,hard,,riemannian_hard
85,True,1.0,"[3631, 2606]",0.3235202729701996,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": true}",-6.51809945444847,1.1913565397262573,0.012017333996482193,nhanes_real,0,riemannian,hard,,riemannian_hard
87,False,,,,,,,,,,0.0105295839603059,nhanes_real,0,riemannian,hard,,riemannian_hard
