cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_hard,0,420,191,45.476190476190474,83.24607329842932,82.72251308900523,-6.875867996693741,4.919902593521548,0.011203717570086624
euclidean_hard,1,445,183,41.12359550561798,83.60655737704919,83.60655737704919,-6.96902728512883,4.607527642302174,0.0116187081610773
euclidean_hard,2,422,204,48.34123222748815,70.58823529411765,70.09803921568627,-6.9196245811028625,4.767960427219377,0.011335422324763688
euclidean_hard,3,430,190,44.18604651162791,82.10526315789474,81.57894736842105,-7.014770469405707,4.973047060872379,0.01110080017919409
euclidean_hard,4,439,212,48.29157175398633,76.88679245283019,75.94339622641509,-6.979556196660898,4.734460417954427,0.01171674987578077
euclidean_none,0,420,420,100.0,97.14285714285714,97.14285714285714,-6.873097727688876,1.7974231840244361,0.013111077366712718
euclidean_none,1,445,445,100.0,97.07865168539325,97.07865168539325,-7.016160211498873,1.8070975762069894,0.012818235190051529
euclidean_none,2,422,422,100.0,96.44549763033176,96.44549763033176,-6.911193585746048,1.6053281829679182,0.012733941694436835
euclidean_none,3,430,430,100.0,98.13953488372093,98.13953488372093,-7.0290292320416095,2.0396774728977403,0.01327725271680821
euclidean_none,4,439,439,100.0,96.81093394077449,96.81093394077449,-6.993329320883704,1.7472009612650425,0.01305872675151812
euclidean_soft_lam0.1,0,420,420,100.0,94.28571428571428,94.28571428571428,-6.854215206122238,1.8688213133740992,0.012853719991870129
euclidean_soft_lam0.1,1,445,445,100.0,94.15730337078652,93.93258426966293,-6.988650099071791,1.8942724393659762,0.013370283701969786
euclidean_soft_lam0.1,2,422,422,100.0,93.12796208530806,93.12796208530806,-6.898162467940672,1.7682613555288993,0.012692817917724765
euclidean_soft_lam0.1,3,430,430,100.0,96.51162790697676,96.51162790697676,-6.990657529404823,2.1211164631469304,0.01280838165101915
euclidean_soft_lam0.1,4,439,439,100.0,92.48291571753985,92.48291571753985,-6.978076931763854,1.857709968144367,0.013118885923442139
euclidean_soft_lam1.0,0,420,420,100.0,86.42857142857143,84.52380952380952,-6.770048112360256,3.597729728903089,0.012978639709901768
euclidean_soft_lam1.0,1,445,445,100.0,86.74157303370787,85.1685393258427,-6.8598213222665665,3.504966856187649,0.013046542228607601
euclidean_soft_lam1.0,2,422,422,100.0,82.70142180094787,81.51658767772511,-6.827692699206216,3.54177271896064,0.012587491235440833
euclidean_soft_lam1.0,3,430,430,100.0,86.74418604651163,83.72093023255815,-6.872779239842003,3.840979849044667,0.014799984590269486
euclidean_soft_lam1.0,4,439,439,100.0,78.35990888382688,76.08200455580865,-6.896801703453861,3.8737544164842244,0.012907656425438296
euclidean_soft_lam10.0,0,420,420,100.0,85.71428571428571,83.80952380952381,-6.768581065708988,4.449137159756252,0.01307486646498238
euclidean_soft_lam10.0,1,445,445,100.0,85.84269662921349,84.26966292134831,-6.832807947779546,4.044253550687532,0.013055155349743578
euclidean_soft_lam10.0,2,422,422,100.0,77.96208530805687,74.40758293838863,-6.809393929242686,4.373159338653935,0.012757106111175224
euclidean_soft_lam10.0,3,430,430,100.0,85.5813953488372,82.55813953488372,-6.845073521173791,4.50204981579337,0.01402595426797927
euclidean_soft_lam10.0,4,439,439,100.0,76.99316628701595,74.94305239179954,-6.861310994205731,4.664452499436354,0.012899426748028827
euclidean_soft_lam100.0,0,420,420,100.0,85.71428571428571,83.80952380952381,-6.768581065708988,4.449137159756252,0.01309051317040848
euclidean_soft_lam100.0,1,445,445,100.0,85.84269662921349,84.26966292134831,-6.832807947779546,4.044253550687532,0.01274421543387817
euclidean_soft_lam100.0,2,422,422,100.0,77.96208530805687,74.40758293838863,-6.809393929242686,4.373159338653935,0.013193363822021109
euclidean_soft_lam100.0,3,430,430,100.0,85.5813953488372,82.55813953488372,-6.845073521173791,4.50204981579337,0.014127048037182711
euclidean_soft_lam100.0,4,439,439,100.0,76.99316628701595,74.94305239179954,-6.861310994205731,4.664452499436354,0.013030269859037219
riemannian_hard,0,420,191,45.476190476190474,86.38743455497382,84.81675392670157,-6.87763004853547,4.963234569545816,0.011386521632777523
riemannian_hard,1,445,183,41.12359550561798,85.79234972677595,84.15300546448088,-6.947035189930463,4.790950155160466,0.011142387842953032
riemannian_hard,2,422,204,48.34123222748815,71.56862745098039,69.11764705882352,-6.913181369041862,4.941597038989558,0.01114973496941964
riemannian_hard,3,430,190,44.18604651162791,87.89473684210526,86.31578947368422,-6.9990266458216635,5.3847075360386,0.010948779753024836
riemannian_hard,4,439,212,48.29157175398633,81.13207547169812,80.66037735849056,-6.980241434312579,4.941789428861636,0.020977085699822602
riemannian_none,0,420,420,100.0,97.38095238095238,97.38095238095238,-6.895550835049528,1.7765978038311006,0.013390238386013366
riemannian_none,1,445,445,100.0,96.85393258426967,96.85393258426967,-6.9925849417003745,1.9000908061359705,0.01347486461248516
riemannian_none,2,422,422,100.0,96.6824644549763,96.44549763033176,-6.914523794634216,1.699330178764759,0.01336750690204581
riemannian_none,3,430,430,100.0,98.37209302325581,98.37209302325581,-7.025845221951204,2.0067638126570126,0.013665656464547956
riemannian_none,4,439,439,100.0,97.26651480637814,97.26651480637814,-6.986594815329761,1.8888977620080283,0.013994058790740747
riemannian_soft_lam0.1,0,420,420,100.0,95.0,95.0,-6.883023679753612,1.9380416404633296,0.013433006841140483
riemannian_soft_lam0.1,1,445,445,100.0,94.6067415730337,94.6067415730337,-6.989386474738511,2.053001747071073,0.013151346529399652
riemannian_soft_lam0.1,2,422,422,100.0,91.70616113744076,91.70616113744076,-6.9092026152211306,1.897885755516624,0.012940315972054682
riemannian_soft_lam0.1,3,430,430,100.0,96.51162790697676,96.27906976744185,-7.011658938070458,2.2471895426165225,0.014564693512443707
riemannian_soft_lam0.1,4,439,439,100.0,92.02733485193622,92.02733485193622,-6.984095342693935,2.0511269029017734,0.017715307039973448
riemannian_soft_lam1.0,0,420,420,100.0,86.42857142857143,85.23809523809524,-6.792534571533397,3.7797534464370637,0.012849087354178225
riemannian_soft_lam1.0,1,445,445,100.0,85.39325842696628,83.59550561797752,-6.869057779770858,3.69945511503166,0.01301560047739233
riemannian_soft_lam1.0,2,422,422,100.0,83.64928909952607,81.27962085308057,-6.8426690938248145,3.7455427996920183,0.01263547916835946
riemannian_soft_lam1.0,3,430,430,100.0,90.46511627906978,88.13953488372093,-6.904427352966221,4.143541316098945,0.012984027506561554
riemannian_soft_lam1.0,4,439,439,100.0,78.13211845102505,76.08200455580865,-6.918145798643993,4.05033132848001,0.013873854752684043
riemannian_soft_lam10.0,0,420,420,100.0,85.47619047619047,84.04761904761905,-6.775111485871697,4.540280801341647,0.012578572017428902
riemannian_soft_lam10.0,1,445,445,100.0,84.9438202247191,82.92134831460675,-6.830385290497761,4.368838834025887,0.013089840906525627
riemannian_soft_lam10.0,2,422,422,100.0,79.85781990521326,75.11848341232228,-6.823442314053061,4.613201454493672,0.012663645237398406
riemannian_soft_lam10.0,3,430,430,100.0,89.76744186046511,86.27906976744187,-6.862526232719492,4.844303806715233,0.012780044379990585
riemannian_soft_lam10.0,4,439,439,100.0,76.08200455580865,73.80410022779044,-6.864925164028231,4.908444187228392,0.014723482436329665
riemannian_soft_lam100.0,0,420,420,100.0,85.47619047619047,84.04761904761905,-6.775111485871697,4.540280801341647,0.012953792853901733
riemannian_soft_lam100.0,1,445,445,100.0,84.9438202247191,82.92134831460675,-6.830385290497761,4.368838834025887,0.012903008155728736
riemannian_soft_lam100.0,2,422,422,100.0,79.85781990521326,75.11848341232228,-6.823442314053061,4.613201454493672,0.012989702904309978
riemannian_soft_lam100.0,3,430,430,100.0,89.76744186046511,86.27906976744187,-6.862526232719492,4.844303806715233,0.013339464922386803
riemannian_soft_lam100.0,4,439,439,100.0,76.08200455580865,73.80410022779044,-6.864925164028231,4.908444187228392,0.01446768604372761
