cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_hard,0,25,16,64.0,56.25,56.25,-7.4425092325790185,0.16008899675216523,0.002009835001081172
euclidean_hard,1,20,15,75.0,40.0,40.0,-7.7501426676533915,0.15777834927042322,0.0019922540523111395
euclidean_hard,2,23,20,86.95652173913044,55.00000000000001,55.00000000000001,-7.723140242867984,0.19796058470383282,0.0020633913024895086
euclidean_hard,3,22,14,63.63636363636363,57.14285714285714,57.14285714285714,-7.789506923512403,0.21587439227317057,0.0020900795484934957
euclidean_hard,4,23,16,69.56521739130434,75.0,75.0,-7.652449672205341,0.40023397211916745,0.0020043894790274437
euclidean_none,0,25,25,100.0,28.000000000000004,28.000000000000004,-7.601342425684424,0.09885755352675911,0.002065133235882932
euclidean_none,1,20,20,100.0,40.0,40.0,-7.799146480367746,0.11947338711470364,0.0020694435836048296
euclidean_none,2,23,23,100.0,43.47826086956522,43.47826086956522,-7.7632676942091265,0.13689177297055719,0.0020341177865781388
euclidean_none,3,22,22,100.0,40.909090909090914,40.909090909090914,-7.95235313858652,0.09912167794325132,0.0020578901828477813
euclidean_none,4,23,23,100.0,56.52173913043478,56.52173913043478,-7.874977466771416,0.1420139217668253,0.0020681974837434523
euclidean_soft_lam0.1,0,25,25,100.0,56.00000000000001,56.00000000000001,-7.602184834921184,0.1709431996196508,0.00206510012038046
euclidean_soft_lam0.1,1,20,20,100.0,45.0,45.0,-7.801817882889185,0.13132711779326195,0.0020418332976987153
euclidean_soft_lam0.1,2,23,23,100.0,52.17391304347826,52.17391304347826,-7.7602921622722985,0.14705578375445755,0.002051528917787474
euclidean_soft_lam0.1,3,22,22,100.0,59.09090909090909,59.09090909090909,-7.946879604279181,0.12691526893864977,0.0020923125134272545
euclidean_soft_lam0.1,4,23,23,100.0,69.56521739130434,69.56521739130434,-7.8806576451011345,0.1885120931850827,0.0020553659541410387
euclidean_soft_lam1.0,0,25,25,100.0,64.0,64.0,-7.598344302123614,0.37775948785245417,0.0020686750044114437
euclidean_soft_lam1.0,1,20,20,100.0,60.0,60.0,-7.802714530931198,0.292217436991632,0.0020588603540090252
