cell,success_rate_mean,success_rate_std,decoded_cvr_hop_mean,decoded_cvr_hop_std,decoded_cvr_endpoint_mean,decoded_cvr_endpoint_std,kde_mean,kde_std,effort_mean,effort_std,latency_mean,latency_std,cvr_hard_mean,cvr_hard_std
euclidean_hard,71.83162055335967,9.649279298444707,56.67857142857142,12.420409881829706,56.67857142857142,12.420409881829706,-7.671549747763628,0.13745607665260084,0.22638725902375184,0.10030443398980232,0.0020319898766805516,4.240287642342621e-05,,
euclidean_none,100.0,0.0,41.78181818181818,10.173718944989966,41.78181818181818,10.173718944989966,-7.798217441123846,0.1319394126079392,0.11927166266441931,0.02031303193262199,0.0020589564545314266,1.4591311506861384e-05,,
euclidean_soft_lam0.1,100.0,0.0,56.36600790513834,9.06280826161733,56.36600790513834,9.06280826161733,-7.798366425892597,0.1311266445607218,0.15295069265822053,0.026308343464435148,0.0020612281606869885,1.92732362740031e-05,,
euclidean_soft_lam1.0,100.0,0.0,68.8711462450593,8.54550280980765,68.8711462450593,8.54550280980765,-7.777383149743278,0.11892150758513659,0.4106405928789568,0.09958589700445607,0.0020750226865245023,4.019860896702519e-05,,
euclidean_soft_lam10.0,100.0,0.0,71.3802371541502,8.079000332442368,71.3802371541502,8.079000332442368,-7.755971202837945,0.11395925897546158,0.6553438575421221,0.24574183678648462,0.0020599762425019394,2.8378566989464864e-05,,
euclidean_soft_lam100.0,100.0,0.0,71.3802371541502,8.079000332442368,71.3802371541502,8.079000332442368,-7.755971202837945,0.11395925897546158,0.6553438575421221,0.24574183678648462,0.002052895884483679,1.983009826714645e-05,,
riemannian_hard,71.83162055335967,9.649279298444707,41.916666666666664,9.050399009006298,41.916666666666664,9.050399009006298,-7.672096060812717,0.135847572318307,0.20196265327101126,0.09147672013570265,0.0020543346564499366,3.1954014474175e-05,,
riemannian_none,100.0,0.0,27.798418972332012,5.802904629203997,27.798418972332012,5.802904629203997,-7.7996305911652515,0.13376554604362142,0.09703624040985351,0.014725944165005144,0.002131964665463904,1.8623267267879162e-05,,
riemannian_soft_lam0.1,100.0,0.0,44.090909090909086,6.718001488659017,44.090909090909086,6.718001488659017,-7.7988138868698655,0.13282246213741314,0.13637007158900433,0.022684198143506903,0.002074637876583763,2.6302948535337172e-05,,
riemannian_soft_lam1.0,100.0,0.0,61.992885375494076,9.088634532429962,61.992885375494076,9.088634532429962,-7.7695899431148945,0.11739840107074409,0.4505753458778966,0.096108245251477,0.002092151299530312,3.409860941554036e-05,,
riemannian_soft_lam10.0,100.0,0.0,62.79288537549407,8.112798956777507,62.79288537549407,8.112798956777507,-7.756686509936995,0.11404152009364446,0.6406226641779007,0.24373563150732364,0.002070759451144654,7.502138944166631e-06,,
riemannian_soft_lam100.0,100.0,0.0,62.79288537549407,8.112798956777507,62.79288537549407,8.112798956777507,-7.756686509936995,0.11404152009364446,0.6406226641779007,0.24373563150732364,0.00206803185162645,1.9826324660454065e-05,,
DiCE,67.62845849802372,30.033882349044397,,,100.0,0.0,-11.409490174045802,1.538245227861049,7.662603275499772,0.17523065534079899,0.006959956055974053,0.0035522687963799784,100.0,0.0
FACE,100.0,0.0,,,92.68221343873518,4.701837796430019,-7.15730893458541,0.0758334438219995,8.540391776778481,0.6877440358088257,0.0033359050616697853,8.95794994408959e-05,84.88616600790513,6.608409841201324
GrowingSpheres,58.04505928853755,17.735623504039435,,,100.0,0.0,-14.760131852210435,1.3236927189818488,8.968490594173167,0.7351684948734015,0.001163986725667749,7.680461518490354e-05,100.0,0.0
REVISE,95.36363636363636,7.87558209838674,,,100.0,0.0,-7.3108802345020525,0.13498684636666938,9.308943061575464,0.6057692788652327,0.011477942211438372,0.003962509721646892,100.0,0.0
