dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
uci,0,1,0,True,,,False,False
uci,0,9,0,True,,,False,False
uci,0,11,0,True,,,False,False
uci,0,28,0,True,,,False,False
uci,0,32,0,True,,,False,False
uci,0,50,0,True,,,False,False
uci,0,52,0,True,,,False,False
uci,0,55,0,True,,,False,False
uci,0,57,0,True,,,False,False
uci,1,16,0,True,,,False,False
uci,1,32,0,True,,,False,False
uci,1,42,0,True,,,False,False
uci,1,52,0,True,,,False,False
uci,1,54,0,True,,,False,False
uci,2,17,0,True,,,False,False
uci,2,25,0,True,,,False,False
uci,2,32,0,True,,,False,False
uci,3,10,0,True,,,False,False
uci,3,25,0,True,,,False,False
uci,3,33,0,True,,,False,False
uci,3,35,0,True,,,False,False
uci,3,45,0,True,,,False,False
uci,3,47,0,True,,,False,False
uci,3,48,0,True,,,False,False
uci,3,52,0,True,,,False,False
uci,4,17,0,True,,,False,False
uci,4,19,0,True,,,False,False
uci,4,20,0,True,,,False,False
uci,4,23,0,True,,,False,False
uci,4,27,0,True,,,False,False
uci,4,38,0,True,,,False,False
uci,4,58,0,True,,,False,False
