patient_idx,success,path_len,path,dijkstra_cost,cvr_events_original,decoded_cvr_hop,decoded_cvr_endpoint,decoded_violation_categories,kde,effort,latency_sec,dataset,seed,metric,constraints,lambda,cell
0,True,1.0,"[237, 114]",0.016397278755903244,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.1538540756831175,0.07656241953372955,0.0022761249565519392,uci,0,riemannian,hard,,riemannian_hard
1,False,,,,,,,,,,0.002070832997560501,uci,0,riemannian,hard,,riemannian_hard
4,True,1.0,"[237, 70]",0.08019935339689255,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.636620561497533,0.16512012481689453,0.0019342919695191085,uci,0,riemannian,hard,,riemannian_hard
6,True,2.0,"[237, 110, 112]",0.10200883820652962,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.505041035330563,0.21899813413619995,0.0018758749938569963,uci,0,riemannian,hard,,riemannian_hard
7,True,1.0,"[237, 181]",0.01055646501481533,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.209691794058189,0.04719137027859688,0.0021266660187393427,uci,0,riemannian,hard,,riemannian_hard
8,True,1.0,"[237, 91]",0.03175508603453636,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.555488957002121,0.06016281992197037,0.0020157090038992465,uci,0,riemannian,hard,,riemannian_hard
9,False,,,,,,,,,,0.0020015000482089818,uci,0,riemannian,hard,,riemannian_hard
11,False,,,,,,,,,,0.0019121250370517373,uci,0,riemannian,hard,,riemannian_hard
14,True,1.0,"[237, 112]",0.1471991389989853,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.523331846927738,0.3379532992839813,0.0018172499840147793,uci,0,riemannian,hard,,riemannian_hard
16,True,1.0,"[237, 50]",0.06327491253614426,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.270942105708437,0.15881425142288208,0.0020807499531656504,uci,0,riemannian,hard,,riemannian_hard
20,True,1.0,"[237, 112]",0.03081599250435829,0.0,True,True,"{""immutable"": false, ""non_decreasing"": true, ""age_horizon"": false, ""directional"": false}",-7.49253809166722,0.06884875893592834,0.002055375021882355,uci,0,riemannian,hard,,riemannian_hard
24,True,1.0,"[237, 56]",0.04595966637134552,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.7820534164934045,0.09594172239303589,0.002090417023282498,uci,0,riemannian,hard,,riemannian_hard
28,False,,,,,,,,,,0.002024417044594884,uci,0,riemannian,hard,,riemannian_hard
30,True,1.0,"[237, 19]",0.014338991604745388,0.0,False,False,"{""immutable"": false, ""non_decreasing"": false, ""age_horizon"": false, ""directional"": false}",-7.653480745801561,0.029338082298636436,0.002481500036083162,uci,0,riemannian,hard,,riemannian_hard
32,False,,,,,,,,,,0.0020475839846767485,uci,0,riemannian,hard,,riemannian_hard
