dataset,decoder,cell,success_rate_mean,decoded_cvr_mean,decoded_cvr_std
uci,v2,old_latent_pruning,29.251748251748253,100.0,0.0
uci,v2,dsr_c1,38.272727272727266,54.07894736842105,32.11640588918926
uci,v2,dsr_full,0.0,,
uci,v3,old_latent_pruning,29.251748251748253,73.92857142857142,17.559019363214237
uci,v3,dsr_c1,75.53846153846153,18.432748538011694,9.14474794432785
uci,v3,dsr_full,0.0,,
nhanes_real,v2,old_latent_pruning,37.675811115629934,75.77043488696809,7.603743748239153
nhanes_real,v2,dsr_c1,54.13968325279688,3.117055519520013,1.7340840452435804
nhanes_real,v2,dsr_full,0.0,,
nhanes_real,v3,old_latent_pruning,37.675811115629934,68.25965437017581,11.296599384114568
nhanes_real,v3,dsr_c1,54.060070119016615,2.474526621008939,3.282336386371344
nhanes_real,v3,dsr_full,0.0,,
