dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
nhanes_real,0,0.95,545,age,8.740113258361816,,3.6983394622802734,conformal_quantile,v2
nhanes_real,0,0.95,545,bmi,7.94041109085083,,3.291851282119751,conformal_quantile,v2
nhanes_real,0,0.95,545,cholesterol,41.15565490722656,,16.33969497680664,conformal_quantile,v2
nhanes_real,0,0.95,545,diastolic_bp,8.84382438659668,,3.993213415145874,conformal_quantile,v2
nhanes_real,0,0.95,545,glycemic_hba1c,1.3231151103973389,,0.43361982703208923,conformal_quantile,v2
nhanes_real,0,0.95,545,sex,,0.4018348623853211,0.474947988986969,identity_rule_no_band,v2
nhanes_real,0,0.95,545,systolic_bp,15.209177017211914,,6.169649600982666,conformal_quantile,v2
nhanes_real,1,0.95,545,age,8.558496475219727,,3.6650261878967285,conformal_quantile,v2
nhanes_real,1,0.95,545,bmi,7.692480564117432,,3.2147600650787354,conformal_quantile,v2
nhanes_real,1,0.95,545,cholesterol,45.28046417236328,,18.86227035522461,conformal_quantile,v2
nhanes_real,1,0.95,545,diastolic_bp,9.927166938781738,,3.9578115940093994,conformal_quantile,v2
nhanes_real,1,0.95,545,glycemic_hba1c,1.0077381134033203,,0.38899949193000793,conformal_quantile,v2
nhanes_real,1,0.95,545,sex,,0.3431192660550459,0.4655420184135437,identity_rule_no_band,v2
nhanes_real,1,0.95,545,systolic_bp,15.732400894165039,,6.256612300872803,conformal_quantile,v2
nhanes_real,2,0.95,545,age,8.420156478881836,,3.6108999252319336,conformal_quantile,v2
nhanes_real,2,0.95,545,bmi,6.974596977233887,,2.987319231033325,conformal_quantile,v2
nhanes_real,2,0.95,545,cholesterol,49.24044418334961,,20.10049057006836,conformal_quantile,v2
nhanes_real,2,0.95,545,diastolic_bp,9.800649642944336,,3.8217737674713135,conformal_quantile,v2
nhanes_real,2,0.95,545,glycemic_hba1c,1.1974661350250244,,0.44626712799072266,conformal_quantile,v2
nhanes_real,2,0.95,545,sex,,0.3559633027522936,0.4705432057380676,identity_rule_no_band,v2
nhanes_real,2,0.95,545,systolic_bp,15.43647289276123,,6.4461259841918945,conformal_quantile,v2
nhanes_real,3,0.95,545,age,9.897581100463867,,4.235348701477051,conformal_quantile,v2
nhanes_real,3,0.95,545,bmi,8.161616325378418,,3.504504442214966,conformal_quantile,v2
nhanes_real,3,0.95,545,cholesterol,56.768531799316406,,22.884708404541016,conformal_quantile,v2
nhanes_real,3,0.95,545,diastolic_bp,9.885171890258789,,3.9241676330566406,conformal_quantile,v2
nhanes_real,3,0.95,545,glycemic_hba1c,1.1728888750076294,,0.4267936944961548,conformal_quantile,v2
nhanes_real,3,0.95,545,sex,,0.3963302752293578,0.47611162066459656,identity_rule_no_band,v2
nhanes_real,3,0.95,545,systolic_bp,16.52090835571289,,6.8466410636901855,conformal_quantile,v2
nhanes_real,4,0.95,545,age,9.586366653442383,,4.357661247253418,conformal_quantile,v2
nhanes_real,4,0.95,545,bmi,8.300889015197754,,3.492432117462158,conformal_quantile,v2
nhanes_real,4,0.95,545,cholesterol,40.58509063720703,,16.3873348236084,conformal_quantile,v2
nhanes_real,4,0.95,545,diastolic_bp,9.699930191040039,,4.152761936187744,conformal_quantile,v2
nhanes_real,4,0.95,545,glycemic_hba1c,1.2448679208755493,,0.4173199236392975,conformal_quantile,v2
nhanes_real,4,0.95,545,sex,,0.42201834862385323,0.4792349934577942,identity_rule_no_band,v2
nhanes_real,4,0.95,545,systolic_bp,15.893132209777832,,6.036215305328369,conformal_quantile,v2
