dataset,cell,seed,patient_idx,feasible_target_exists,classification,resolved_by_2k,resolved_by_synthetic
uci,dsr_c1,0,1,False,certified_infeasible,False,False
uci,dsr_c1,0,9,False,certified_infeasible,False,False
uci,dsr_c1,0,11,False,certified_infeasible,False,False
uci,dsr_c1,0,32,False,certified_infeasible,False,False
uci,dsr_c1,0,52,False,certified_infeasible,False,False
uci,dsr_c1,0,55,False,certified_infeasible,False,False
uci,dsr_c1,0,57,False,certified_infeasible,False,False
uci,dsr_c1,1,42,False,certified_infeasible,False,False
uci,dsr_c1,1,54,False,certified_infeasible,False,False
uci,dsr_c1,2,49,False,certified_infeasible,False,False
uci,dsr_c1,3,10,False,certified_infeasible,False,False
uci,dsr_c1,3,33,False,certified_infeasible,False,False
uci,dsr_c1,3,45,False,certified_infeasible,False,False
uci,dsr_c1,3,48,False,certified_infeasible,False,False
uci,dsr_c1,3,52,False,certified_infeasible,False,False
uci,dsr_c1,4,16,False,certified_infeasible,False,False
uci,dsr_c1,4,19,False,certified_infeasible,False,False
uci,dsr_c1,4,20,False,certified_infeasible,False,False
uci,dsr_c1,4,27,False,certified_infeasible,False,False
uci,dsr_c1,4,33,False,certified_infeasible,False,False
uci,dsr_c1,4,38,False,certified_infeasible,False,False
uci,dsr_c1,4,40,False,certified_infeasible,False,False
uci,dsr_c1,4,42,False,certified_infeasible,False,False
uci,dsr_c1,4,44,False,certified_infeasible,False,False
uci,dsr_c1,4,57,False,certified_infeasible,False,False
uci,dsr_c1,4,58,False,certified_infeasible,False,False
