dataset,seed,cell,patient_idx,success,abstain_stage,latency_sec,n_candidates_tried,path_len,decoded_cvr_hop,decoded_cvr_endpoint,kde,effort,terminal_risk
uci,0,egd_riemannian,0,True,,0.012984832981601357,14.0,10.0,False,False,-11.901698777425313,17.707244873046875,0.3627232611179352
uci,0,egd_riemannian,1,False,risk_check,0.006131708971224725,20.0,,,,,,
uci,0,egd_riemannian,4,False,risk_check,0.006725625018589199,20.0,,,,,,
uci,0,egd_riemannian,6,True,,0.005015083006583154,5.0,13.0,False,False,-19.56798552328598,21.5101375579834,0.4117300510406494
uci,0,egd_riemannian,7,True,,0.006612416938878596,13.0,7.0,False,False,-9.862336284441506,11.703761100769043,0.43708565831184387
uci,0,egd_riemannian,8,True,,0.0043562090722844005,5.0,10.0,False,False,-13.492538607519506,16.68742561340332,0.4477407932281494
uci,0,egd_riemannian,9,True,,0.003796042059548199,12.0,5.0,False,False,-13.189975211538755,8.250179290771484,0.436759889125824
uci,0,egd_riemannian,11,False,risk_check,0.0053012080024927855,20.0,,,,,,
uci,0,egd_riemannian,14,True,,0.010955290985293686,14.0,13.0,False,False,-14.836182740236454,22.95688819885254,0.37853342294692993
uci,0,egd_riemannian,16,True,,0.009864334017038345,14.0,12.0,False,False,-13.779381468770529,21.288503646850586,0.41499269008636475
uci,0,egd_riemannian,20,True,,0.004027499933727086,13.0,4.0,False,False,-8.155114169511355,6.36771297454834,0.4081045687198639
uci,0,egd_riemannian,24,True,,0.006518916925415397,16.0,8.0,False,False,-11.935664894116012,13.816108703613281,0.4344639778137207
uci,0,egd_riemannian,28,True,,0.004431916982866824,16.0,4.0,False,False,-17.007773462448203,6.20994234085083,0.43112650513648987
uci,0,egd_riemannian,30,True,,0.00474179198499769,14.0,6.0,False,False,-9.436428005673202,10.388134002685547,0.4222997725009918
uci,0,egd_riemannian,32,False,risk_check,0.0057732079876586795,20.0,,,,,,
uci,0,egd_riemannian,34,False,risk_check,0.007373166969045997,20.0,,,,,,
uci,0,egd_riemannian,38,False,risk_check,0.011825833003968,20.0,,,,,,
uci,0,egd_riemannian,39,True,,0.003538500051945448,11.0,5.0,False,False,-10.055772149886133,8.2501802444458,0.3702094554901123
uci,0,egd_riemannian,44,True,,0.003868082887493074,4.0,9.0,False,False,-8.886211846589484,14.742162704467773,0.37809357047080994
uci,0,egd_riemannian,45,False,risk_check,0.005333874956704676,20.0,,,,,,
uci,0,egd_riemannian,50,True,,0.003634209046140313,7.0,6.0,False,False,-15.557327196570833,9.213318824768066,0.4217543601989746
uci,0,egd_riemannian,52,True,,0.00759341602679342,14.0,10.0,False,False,-12.639404885103497,17.707244873046875,0.41010260581970215
uci,0,egd_riemannian,53,False,risk_check,0.006489208899438381,20.0,,,,,,
uci,0,egd_riemannian,55,True,,0.004783625015988946,4.0,12.0,False,False,-16.153214124944864,19.56487464904785,0.4141234755516052
uci,0,egd_riemannian,57,False,risk_check,0.005971416947431862,20.0,,,,,,
uci,0,egd_euclidean,0,False,risk_check,0.004248582990840077,20.0,,,,,,
uci,0,egd_euclidean,1,False,risk_check,0.004138707998208702,20.0,,,,,,
uci,0,egd_euclidean,4,False,risk_check,0.004105416941456497,20.0,,,,,,
uci,0,egd_euclidean,6,False,risk_check,0.004162499913945794,20.0,,,,,,
uci,0,egd_euclidean,7,False,risk_check,0.004121250007301569,20.0,,,,,,
uci,0,egd_euclidean,8,False,risk_check,0.004053500015288591,20.0,,,,,,
uci,0,egd_euclidean,9,False,risk_check,0.0041613749926909804,20.0,,,,,,
uci,0,egd_euclidean,11,False,risk_check,0.0041553330374881625,20.0,,,,,,
uci,0,egd_euclidean,14,False,risk_check,0.004114332958124578,20.0,,,,,,
uci,0,egd_euclidean,16,False,risk_check,0.0042062499560415745,20.0,,,,,,
uci,0,egd_euclidean,20,False,risk_check,0.004132709000259638,20.0,,,,,,
uci,0,egd_euclidean,24,False,risk_check,0.004133666981942952,20.0,,,,,,
uci,0,egd_euclidean,28,False,risk_check,0.004179791081696749,20.0,,,,,,
uci,0,egd_euclidean,30,False,risk_check,0.004166750004515052,20.0,,,,,,
uci,0,egd_euclidean,32,False,risk_check,0.004104375024326146,20.0,,,,,,
uci,0,egd_euclidean,34,False,risk_check,0.004086249973624945,20.0,,,,,,
uci,0,egd_euclidean,38,False,risk_check,0.0041842079954221845,20.0,,,,,,
uci,0,egd_euclidean,39,False,risk_check,0.004088459070771933,20.0,,,,,,
uci,0,egd_euclidean,44,False,risk_check,0.004115874995477498,20.0,,,,,,
uci,0,egd_euclidean,45,False,risk_check,0.0041817500023171306,20.0,,,,,,
uci,0,egd_euclidean,50,False,risk_check,0.0041650410275906324,20.0,,,,,,
uci,0,egd_euclidean,52,False,risk_check,0.004069125046953559,20.0,,,,,,
uci,0,egd_euclidean,53,False,risk_check,0.004058082937262952,20.0,,,,,,
uci,0,egd_euclidean,55,False,risk_check,0.004057083977386355,20.0,,,,,,
uci,0,egd_euclidean,57,False,risk_check,0.004181041964329779,20.0,,,,,,
uci,0,old_latent_pruning,0,True,,0.00253800000064075,,2.0,False,False,-7.266481228090145,0.051820360124111176,
uci,0,old_latent_pruning,1,False,,0.002173083950765431,,,,,,,
uci,0,old_latent_pruning,4,True,,0.002051500021480024,,2.0,True,True,-7.625659973917979,0.1570252627134323,
uci,0,old_latent_pruning,6,True,,0.0021398329408839345,,2.0,True,True,-7.642208219801757,0.3197835385799408,
uci,0,old_latent_pruning,7,True,,0.0022032500710338354,,2.0,False,False,-7.305666810454575,0.024377310648560524,
uci,0,old_latent_pruning,8,True,,0.0021096670534461737,,2.0,True,True,-7.491471145485034,0.203983336687088,
uci,0,old_latent_pruning,9,False,,0.00196883303578943,,,,,,,
uci,0,old_latent_pruning,11,False,,0.00200824998319149,,,,,,,
