cell,seed,n_patients,n_success,success_rate,decoded_cvr_hop_rate,decoded_cvr_endpoint_rate,kde_mean,effort_mean,latency_mean
euclidean_hard,0,149,149,100.0,85.23489932885906,84.56375838926175,-7.584274205324387,2.4379078356811665,0.002448567964727221
euclidean_hard,1,135,135,100.0,90.37037037037037,89.62962962962962,-7.5470318846033875,2.238313862350252,0.002468105897962724
euclidean_hard,2,137,137,100.0,68.61313868613139,65.69343065693431,-7.563880970363715,3.079142008384649,0.00252529811479459
euclidean_hard,3,137,137,100.0,90.51094890510949,87.59124087591242,-7.582056827194565,2.496203258524846,0.0025623473364274705
euclidean_hard,4,117,117,100.0,78.63247863247864,68.37606837606837,-7.582744156531459,2.4346462663931723,0.0023627265303745445
euclidean_none,0,149,149,100.0,91.94630872483222,91.94630872483222,-7.626992635786426,1.4246269563500513,0.003351880612098655
euclidean_none,1,135,135,100.0,88.88888888888889,88.88888888888889,-7.567866105136293,1.2531569906958828,0.003196003983073164
euclidean_none,2,137,137,100.0,88.32116788321169,88.32116788321169,-7.61136348158943,1.6787262015099074,0.0033103473612827406
euclidean_none,3,137,137,100.0,98.54014598540147,97.8102189781022,-7.615783964404559,1.4629044698102631,0.003075730517832852
euclidean_none,4,117,117,100.0,88.88888888888889,88.88888888888889,-7.5962788202978,1.3354144134582617,0.0031915402774197075
euclidean_soft_lam0.1,0,149,149,100.0,90.60402684563759,90.60402684563759,-7.623947989121712,1.5475963349110329,0.0031389832803697735
euclidean_soft_lam0.1,1,135,135,100.0,90.37037037037037,90.37037037037037,-7.564028247556936,1.435678799726345,0.00369780745003713
euclidean_soft_lam0.1,2,137,137,100.0,80.2919708029197,79.56204379562044,-7.610258370132092,1.8596284641836682,0.003212831455561537
euclidean_soft_lam0.1,3,137,137,100.0,97.08029197080292,96.35036496350365,-7.607311747857674,1.5435196078606765,0.003229813882231279
euclidean_soft_lam0.1,4,117,117,100.0,82.90598290598291,81.19658119658119,-7.589528054303186,1.4651297071041205,0.00332953382291404
euclidean_soft_lam1.0,0,149,149,100.0,69.12751677852349,57.71812080536913,-7.5593564194655745,3.7389824823445124,0.0032618182309708983
euclidean_soft_lam1.0,1,135,135,100.0,85.92592592592592,83.7037037037037,-7.53264849571458,2.688067540857527,0.0032627750429565757
euclidean_soft_lam1.0,2,137,137,100.0,58.3941605839416,32.11678832116788,-7.577331290290983,3.904454353081919,0.0031448717120300175
euclidean_soft_lam1.0,3,137,137,100.0,75.18248175182481,70.07299270072993,-7.5825343665768985,3.637626491758945,0.0035611185896121484
euclidean_soft_lam1.0,4,117,117,100.0,77.77777777777779,59.82905982905983,-7.554553305973387,3.519803607565725,0.003167892515193619
euclidean_soft_lam10.0,0,149,149,100.0,69.79865771812081,57.71812080536913,-7.563005215297085,3.9457510949781276,0.0031541015170732886
euclidean_soft_lam10.0,1,135,135,100.0,85.92592592592592,83.7037037037037,-7.535004768055752,2.743899897734324,0.0032222617348586576
