Method,Success (%),Decoded CVR (%),KDE,Effort,Latency (s)
R+hard (CARE-LG),45.5$\pm$3.0,81.0$\pm$7.0,-6.943$\pm$0.049,5.00$\pm$0.22,0.0131$\pm$0.0044
R+soft (λ=1),100.0$\pm$0.0,82.9$\pm$4.5,-6.865$\pm$0.050,3.88$\pm$0.20,0.0131$\pm$0.0005
R+soft (λ=10),100.0$\pm$0.0,80.4$\pm$5.6,-6.831$\pm$0.036,4.66$\pm$0.22,0.0132$\pm$0.0009
E+hard (≈FACE-in-latent-space),45.5$\pm$3.0,78.8$\pm$5.7,-6.952$\pm$0.054,4.80$\pm$0.15,0.0114$\pm$0.0003
E+soft (λ=1),100.0$\pm$0.0,82.2$\pm$3.7,-6.845$\pm$0.049,3.67$\pm$0.17,0.0133$\pm$0.0009
E+none,100.0$\pm$0.0,97.1$\pm$0.6,-6.965$\pm$0.069,1.80$\pm$0.16,0.0130$\pm$0.0002
DiCE,57.2$\pm$0.8,100.0$\pm$0.0,-8.699$\pm$0.094,2.39$\pm$0.05,0.0071$\pm$0.0001
FACE,100.0$\pm$0.0,99.6$\pm$0.4,-7.544$\pm$0.024,4.55$\pm$0.11,0.0914$\pm$0.0001
"REVISE (genuinely implemented, this session)",90.5$\pm$2.3,100.0$\pm$0.0,-6.804$\pm$0.111,5.81$\pm$0.31,0.0087$\pm$0.0007
GrowingSpheres,98.6$\pm$0.8,100.0$\pm$0.0,-9.480$\pm$0.145,3.05$\pm$0.03,0.0006$\pm$0.0000
