dataset,seed,patient_idx,method,success,latency_sec,cvr_hard,cvr_full,effort,kde
uci,0,0,DiCE,True,0.005734209029469639,1.0,1.0,7.371255874633789,-14.25264411403451
uci,0,0,FACE,True,0.006271124992053956,0.0,0.0,11.468847274780273,-6.553326268377009
uci,0,0,GrowingSpheres,True,0.001506541040726006,1.0,1.0,9.01280895784381,-13.117702900591517
uci,0,0,REVISE,True,0.0031651249737478793,1.0,1.0,10.859634399414062,-7.15970723872674
uci,0,1,DiCE,True,0.006123083003330976,1.0,1.0,11.364034652709961,-11.07452619164473
uci,0,1,FACE,True,0.0034170830040238798,1.0,1.0,5.835699081420898,-7.368319136873541
uci,0,1,GrowingSpheres,False,0.0013006249791942537,,,,
uci,0,1,REVISE,True,0.01508704200387001,1.0,1.0,9.328258514404297,-7.13869675603091
uci,0,4,DiCE,True,0.004277917032595724,1.0,1.0,9.071464538574219,-7.740681699535296
uci,0,4,FACE,True,0.0036424159770831466,1.0,1.0,10.140365600585938,-6.965164701411759
uci,0,4,GrowingSpheres,False,0.0012570410035550594,,,,
uci,0,4,REVISE,True,0.008902666042558849,1.0,1.0,8.832160949707031,-7.099581483156076
uci,0,6,DiCE,False,0.01526329095941037,,,,
uci,0,6,FACE,True,0.003510708047542721,1.0,1.0,14.147717475891113,-6.866234484052912
uci,0,6,GrowingSpheres,False,0.001380832982249558,,,,
uci,0,6,REVISE,True,0.007060832984279841,1.0,1.0,16.50122833251953,-7.098366518220798
uci,0,7,DiCE,True,0.0024651249987073243,1.0,1.0,6.550660133361816,-9.521561826689371
uci,0,7,FACE,True,0.0033319999929517508,1.0,1.0,8.672419548034668,-7.3609640655454465
uci,0,7,GrowingSpheres,True,0.0011945840087719262,1.0,1.0,9.645431897487432,-16.191857931574802
uci,0,7,REVISE,True,0.0005956670502200723,1.0,1.0,12.020127296447754,-7.2219350256263874
uci,0,8,DiCE,True,0.004287832998670638,1.0,1.0,9.220826148986816,-14.871967620199863
