dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
nhanes_real,0,0.95,545,age,2.2202727794647217,,0.792001485824585,conformal_quantile,v3
nhanes_real,0,0.95,545,bmi,12.722583770751953,,4.478745937347412,conformal_quantile,v3
nhanes_real,0,0.95,545,cholesterol,53.391300201416016,,20.979415893554688,conformal_quantile,v3
nhanes_real,0,0.95,545,diastolic_bp,9.486520767211914,,4.1324310302734375,conformal_quantile,v3
nhanes_real,0,0.95,545,glycemic_hba1c,1.1844913959503174,,0.44820401072502136,conformal_quantile,v3
nhanes_real,0,0.95,545,sex,,0.43853211009174314,0.4886729419231415,identity_rule_no_band,v3
nhanes_real,0,0.95,545,systolic_bp,16.021015167236328,,6.594536304473877,conformal_quantile,v3
nhanes_real,0,0.05,545,age,0.045490264892578125,,0.792001485824585,conformal_quantile,v3
nhanes_real,0,0.05,545,bmi,0.3022899627685547,,4.478745937347412,conformal_quantile,v3
nhanes_real,0,0.05,545,cholesterol,1.0437285900115967,,20.979415893554688,conformal_quantile,v3
nhanes_real,0,0.05,545,diastolic_bp,0.3847976624965668,,4.1324310302734375,conformal_quantile,v3
nhanes_real,0,0.05,545,glycemic_hba1c,0.030150413513183594,,0.44820401072502136,conformal_quantile,v3
nhanes_real,0,0.05,545,sex,,0.43853211009174314,0.4886729419231415,identity_rule_no_band,v3
nhanes_real,0,0.05,545,systolic_bp,0.4706069827079773,,6.594536304473877,conformal_quantile,v3
nhanes_real,0,0.1,545,age,0.09012909233570099,,0.792001485824585,conformal_quantile,v3
nhanes_real,0,0.1,545,bmi,0.6478153467178345,,4.478745937347412,conformal_quantile,v3
nhanes_real,0,0.1,545,cholesterol,2.7558014392852783,,20.979415893554688,conformal_quantile,v3
nhanes_real,0,0.1,545,diastolic_bp,0.900299072265625,,4.1324310302734375,conformal_quantile,v3
nhanes_real,0,0.1,545,glycemic_hba1c,0.06218843534588814,,0.44820401072502136,conformal_quantile,v3
