dataset,cell,seed,n_high_risk,n_abstain_true,n_abstain_analyzed,pct_abstain,was_subsampled,pct_certified_infeasible,pct_confirmed_blindspot,pct_unresolved
uci,dsr_c1,0,22,7,7,31.818181818181817,False,100.0,0.0,0.0
uci,dsr_c1,1,11,2,2,18.181818181818183,False,100.0,0.0,0.0
uci,dsr_c1,2,20,1,1,5.0,False,100.0,0.0,0.0
uci,dsr_c1,3,20,5,5,25.0,False,100.0,0.0,0.0
uci,dsr_c1,4,26,11,11,42.30769230769231,False,100.0,0.0,0.0
uci,dsr_full,0,22,22,22,100.0,False,68.18181818181819,0.0,31.818181818181817
uci,dsr_full,1,11,11,11,100.0,False,63.63636363636363,0.0,36.36363636363637
uci,dsr_full,2,20,20,20,100.0,False,60.0,0.0,40.0
uci,dsr_full,3,20,20,20,100.0,False,85.0,0.0,15.0
uci,dsr_full,4,26,26,25,100.0,True,76.0,0.0,24.0
nhanes_real,dsr_c1,0,410,164,25,40.0,True,84.0,0.0,16.0
nhanes_real,dsr_c1,1,445,205,25,46.06741573033708,True,80.0,0.0,20.0
nhanes_real,dsr_c1,2,442,177,25,40.04524886877828,True,88.0,0.0,12.0
nhanes_real,dsr_c1,3,427,202,25,47.30679156908665,True,84.0,0.0,16.0
nhanes_real,dsr_c1,4,414,233,25,56.28019323671498,True,92.0,4.0,4.0
nhanes_real,dsr_full,0,410,410,25,100.0,True,72.0,0.0,28.0
nhanes_real,dsr_full,1,445,445,25,100.0,True,60.0,0.0,40.0
nhanes_real,dsr_full,2,442,442,25,100.0,True,44.0,0.0,56.0
nhanes_real,dsr_full,3,427,427,25,100.0,True,48.0,0.0,52.0
nhanes_real,dsr_full,4,414,414,25,100.0,True,72.0,0.0,28.0
