dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v3,old_latent_pruning,0.95,1,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.010212459019385278,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,2,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.017068292014300823,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,5,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.010540958028286695,0.0,0.0,,"[3086, 1509]",2.0,2.0189225673675537,True,True,False,True,False,True,-7.126866231364785,6.341213703155518,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,6,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.011516791069880128,0.0,0.0,,"[3086, 964]",2.0,1.1588069200515747,False,False,False,False,False,False,-6.595461540065515,3.594938278198242,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,7,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.010996499913744628,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,8,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.011378624942153692,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,9,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.010083916946314275,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,11,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009836999932304025,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,12,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009859582991339266,0.0,0.0,,"[3086, 1509]",2.0,2.8538012504577637,True,True,False,True,False,True,-7.343376633130349,7.748328685760498,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,13,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.012644208036363125,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,14,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.00954366591759026,,,,,,,,,,,,,,,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,17,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,True,False,,not_attempted,0.009724875097163022,0.0,0.0,,"[3086, 1509]",2.0,2.473471164703369,True,True,False,True,False,True,-7.2508604089262425,7.530527591705322,,,,
nhanes_real,0,v3,old_latent_pruning,0.95,21,raw,raw,riemannian,False,244728,246880,0.005362999974749982,0.8790434169350192,0.001700083026662469,False,True,search,,0.009882958023808897,,,,,,,,,,,,,,,,,,
