dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,latency_sec,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
nhanes_real,0,v2,old_latent_pruning,0.95,1,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.003571790992282331,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,2,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.003065875032916665,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,5,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0031016659922897816,0.0,0.0,,"[3086, 1509]",2.0,1.5304032564163208,True,True,False,True,False,False,-6.908068113279997,5.118147850036621,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,6,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003121500019915402,0.0,0.0,,"[3086, 964]",2.0,1.0467458963394165,False,False,False,False,False,False,-6.445811192403521,3.48333740234375,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,7,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.0031180829973891377,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,8,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.002859791973605752,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,9,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.0028684999560937285,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,11,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.003270624903962016,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,12,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.003334500011987984,0.0,0.0,,"[3086, 1509]",2.0,2.2792210578918457,True,True,False,True,False,False,-7.015743378466452,7.228051662445068,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,13,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.0031782080186530948,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,14,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.00310562492813915,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,17,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0029674579855054617,0.0,0.0,,"[3086, 1509]",2.0,2.1912248134613037,True,True,False,True,False,True,-6.934454662598135,6.787959098815918,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,21,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,False,True,search,,0.0031507500680163503,,,,,,,,,,,,,,,,,,
nhanes_real,0,v2,old_latent_pruning,0.95,22,raw,raw,riemannian,False,245402,246880,0.004783791955560446,0.30238545895554125,0.00041699991561472416,True,False,,not_attempted,0.0033257079776376486,0.0,0.0,,"[3086, 1902]",2.0,1.1436799764633179,False,False,False,False,False,False,-6.321630552679095,3.683549165725708,,,,
