dataset,quantile,feature,tau,original_eps,ratio_tau_over_eps,band_usable_at_this_q
uci,0.05,resting_bp,1.6084270477294922,5.0,0.3216854095458984,True
uci,0.05,cholesterol,4.360073089599609,1.0,4.360073089599609,False
uci,0.05,max_heart_rate,0.6287269592285156,0.1,6.287269592285156,False
uci,0.05,oldpeak,0.08476713299751282,0.05,1.6953426599502563,False
uci,0.05,age,0.12606334686279297,0.1,1.2606334686279297,False
uci,0.25,resting_bp,5.929262161254883,5.0,1.1858524322509765,False
uci,0.25,cholesterol,12.231517791748047,1.0,12.231517791748047,False
uci,0.25,max_heart_rate,6.8090667724609375,0.1,68.09066772460938,False
uci,0.25,oldpeak,0.5366678237915039,0.05,10.733356475830078,False
uci,0.25,age,0.3989143371582031,0.1,3.9891433715820312,False
uci,0.5,resting_bp,11.647796630859375,5.0,2.329559326171875,False
uci,0.5,cholesterol,28.947341918945312,1.0,28.947341918945312,False
uci,0.5,max_heart_rate,11.865127563476562,0.1,118.65127563476562,False
uci,0.5,oldpeak,0.7498253583908081,0.05,14.996507167816162,False
uci,0.5,age,0.8443756103515625,0.1,8.443756103515625,False
uci,0.95,resting_bp,27.89194107055664,5.0,5.578388214111328,False
uci,0.95,cholesterol,80.65633392333984,1.0,80.65633392333984,False
uci,0.95,max_heart_rate,34.686363220214844,0.1,346.86363220214844,False
uci,0.95,oldpeak,2.273500442504883,0.05,45.470008850097656,False
uci,0.95,age,5.562880516052246,0.1,55.62880516052246,False
nhanes_real,0.05,systolic_bp,0.4706069827079773,1.0,0.4706069827079773,True
nhanes_real,0.05,diastolic_bp,0.3847976624965668,1.0,0.3847976624965668,True
nhanes_real,0.05,cholesterol,1.0437285900115967,1.0,1.0437285900115967,False
nhanes_real,0.05,bmi,0.3022899627685547,0.1,3.022899627685547,False
nhanes_real,0.05,glycemic_hba1c,0.030150413513183594,0.05,0.6030082702636719,True
nhanes_real,0.05,age,0.045490264892578125,0.1,0.45490264892578125,True
nhanes_real,0.25,systolic_bp,2.7922897338867188,1.0,2.7922897338867188,False
nhanes_real,0.25,diastolic_bp,1.697845458984375,1.0,1.697845458984375,False
nhanes_real,0.25,cholesterol,8.332550048828125,1.0,8.332550048828125,False
nhanes_real,0.25,bmi,1.8075923919677734,0.1,18.075923919677734,False
nhanes_real,0.25,glycemic_hba1c,0.17731952667236328,0.05,3.5463905334472656,False
nhanes_real,0.25,age,0.2582855224609375,0.1,2.582855224609375,False
nhanes_real,0.5,systolic_bp,5.5580596923828125,1.0,5.5580596923828125,False
nhanes_real,0.5,diastolic_bp,3.409515380859375,1.0,3.409515380859375,False
nhanes_real,0.5,cholesterol,17.460830688476562,1.0,17.460830688476562,False
nhanes_real,0.5,bmi,3.4550437927246094,0.1,34.550437927246094,False
nhanes_real,0.5,glycemic_hba1c,0.33342742919921875,0.05,6.668548583984375,False
nhanes_real,0.5,age,0.6037139892578125,0.1,6.037139892578125,False
nhanes_real,0.95,systolic_bp,16.021015167236328,1.0,16.021015167236328,False
nhanes_real,0.95,diastolic_bp,9.486520767211914,1.0,9.486520767211914,False
nhanes_real,0.95,cholesterol,53.391300201416016,1.0,53.391300201416016,False
nhanes_real,0.95,bmi,12.722583770751953,0.1,127.22583770751953,False
nhanes_real,0.95,glycemic_hba1c,1.1844913959503174,0.05,23.689827919006348,False
nhanes_real,0.95,age,2.2202727794647217,0.1,22.202727794647217,False
