dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
uci,0,0.95,36,age,5.562880516052246,,1.623896598815918,conformal_quantile,v3
uci,0,0.95,36,cholesterol,80.65633392333984,,35.71574783325195,conformal_quantile,v3
uci,0,0.95,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.95,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.95,36,max_heart_rate,34.686363220214844,,15.236380577087402,conformal_quantile,v3
uci,0,0.95,36,oldpeak,2.273500442504883,,0.8961578011512756,conformal_quantile,v3
uci,0,0.95,36,resting_bp,27.89194107055664,,14.120189666748047,conformal_quantile,v3
uci,0,0.95,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.95,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.05,36,age,0.12606334686279297,,1.623896598815918,conformal_quantile,v3
uci,0,0.05,36,cholesterol,4.360073089599609,,35.71574783325195,conformal_quantile,v3
uci,0,0.05,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.05,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.05,36,max_heart_rate,0.6287269592285156,,15.236380577087402,conformal_quantile,v3
uci,0,0.05,36,oldpeak,0.08476713299751282,,0.8961578011512756,conformal_quantile,v3
uci,0,0.05,36,resting_bp,1.6084270477294922,,14.120189666748047,conformal_quantile,v3
uci,0,0.05,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.05,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.1,36,age,0.15609359741210938,,1.623896598815918,conformal_quantile,v3
uci,0,0.1,36,cholesterol,9.769142150878906,,35.71574783325195,conformal_quantile,v3
uci,0,0.1,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.1,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.1,36,max_heart_rate,2.4519500732421875,,15.236380577087402,conformal_quantile,v3
uci,0,0.1,36,oldpeak,0.3838532567024231,,0.8961578011512756,conformal_quantile,v3
uci,0,0.1,36,resting_bp,2.7006988525390625,,14.120189666748047,conformal_quantile,v3
uci,0,0.1,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.1,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.25,36,age,0.3989143371582031,,1.623896598815918,conformal_quantile,v3
uci,0,0.25,36,cholesterol,12.231517791748047,,35.71574783325195,conformal_quantile,v3
uci,0,0.25,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.25,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.25,36,max_heart_rate,6.8090667724609375,,15.236380577087402,conformal_quantile,v3
uci,0,0.25,36,oldpeak,0.5366678237915039,,0.8961578011512756,conformal_quantile,v3
uci,0,0.25,36,resting_bp,5.929262161254883,,14.120189666748047,conformal_quantile,v3
uci,0,0.25,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.25,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.5,36,age,0.8443756103515625,,1.623896598815918,conformal_quantile,v3
uci,0,0.5,36,cholesterol,28.947341918945312,,35.71574783325195,conformal_quantile,v3
uci,0,0.5,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.5,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.5,36,max_heart_rate,11.865127563476562,,15.236380577087402,conformal_quantile,v3
uci,0,0.5,36,oldpeak,0.7498253583908081,,0.8961578011512756,conformal_quantile,v3
uci,0,0.5,36,resting_bp,11.647796630859375,,14.120189666748047,conformal_quantile,v3
uci,0,0.5,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.5,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.8,36,age,2.853607177734375,,1.623896598815918,conformal_quantile,v3
uci,0,0.8,36,cholesterol,61.962921142578125,,35.71574783325195,conformal_quantile,v3
uci,0,0.8,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
uci,0,0.8,36,fasting_blood_sugar,,0.1111111111111111,0.27452701330184937,identity_rule_no_band,v3
uci,0,0.8,36,max_heart_rate,27.85003662109375,,15.236380577087402,conformal_quantile,v3
uci,0,0.8,36,oldpeak,1.1204229593276978,,0.8961578011512756,conformal_quantile,v3
uci,0,0.8,36,resting_bp,20.617874145507812,,14.120189666748047,conformal_quantile,v3
uci,0,0.8,36,sex,,0.2777777777777778,0.43509534001350403,identity_rule_no_band,v3
uci,0,0.8,36,slope,,0.5,0.5687077641487122,identity_rule_no_band,v3
uci,0,0.9,36,age,3.58404541015625,,1.623896598815918,conformal_quantile,v3
uci,0,0.9,36,cholesterol,75.75206756591797,,35.71574783325195,conformal_quantile,v3
uci,0,0.9,36,exercise_angina,,0.3333333333333333,0.4298545718193054,identity_rule_no_band,v3
