dataset,seed,quantile,n_calib,feature,tau,misclass_rate,mae,band_type,decoder
uci,0,0.95,36,age,19.68775749206543,,7.761260032653809,conformal_quantile,v2
uci,0,0.95,36,cholesterol,92.17483520507812,,36.95802307128906,conformal_quantile,v2
uci,0,0.95,36,exercise_angina,,0.3333333333333333,0.3751281797885895,identity_rule_no_band,v2
uci,0,0.95,36,fasting_blood_sugar,,0.1111111111111111,0.2033652514219284,identity_rule_no_band,v2
uci,0,0.95,36,max_heart_rate,36.7969970703125,,13.031414985656738,conformal_quantile,v2
uci,0,0.95,36,oldpeak,2.0310726165771484,,0.7576557993888855,conformal_quantile,v2
uci,0,0.95,36,resting_bp,29.432823181152344,,14.457584381103516,conformal_quantile,v2
uci,0,0.95,36,sex,,0.5555555555555556,0.4979829788208008,identity_rule_no_band,v2
uci,0,0.95,36,slope,,0.3333333333333333,0.44086647033691406,identity_rule_no_band,v2
uci,1,0.95,36,age,17.435726165771484,,7.731863021850586,conformal_quantile,v2
uci,1,0.95,36,cholesterol,106.40887451171875,,41.92857360839844,conformal_quantile,v2
uci,1,0.95,36,exercise_angina,,0.4166666666666667,0.4487329125404358,identity_rule_no_band,v2
uci,1,0.95,36,fasting_blood_sugar,,0.1111111111111111,0.1913001537322998,identity_rule_no_band,v2
uci,1,0.95,36,max_heart_rate,36.32343292236328,,18.384111404418945,conformal_quantile,v2
uci,1,0.95,36,oldpeak,2.0817177295684814,,0.9221025109291077,conformal_quantile,v2
uci,1,0.95,36,resting_bp,23.83888816833496,,12.370644569396973,conformal_quantile,v2
uci,1,0.95,36,sex,,0.3055555555555556,0.4845764935016632,identity_rule_no_band,v2
uci,1,0.95,36,slope,,0.5833333333333334,0.625548779964447,identity_rule_no_band,v2
uci,2,0.95,36,age,15.289164543151855,,6.739481449127197,conformal_quantile,v2
uci,2,0.95,36,cholesterol,97.18930053710938,,45.50051498413086,conformal_quantile,v2
uci,2,0.95,36,exercise_angina,,0.3055555555555556,0.4077213704586029,identity_rule_no_band,v2
uci,2,0.95,36,fasting_blood_sugar,,0.16666666666666666,0.2730611264705658,identity_rule_no_band,v2
uci,2,0.95,36,max_heart_rate,36.39436340332031,,15.614935874938965,conformal_quantile,v2
uci,2,0.95,36,oldpeak,1.4576210975646973,,0.7788892984390259,conformal_quantile,v2
uci,2,0.95,36,resting_bp,44.705421447753906,,17.594940185546875,conformal_quantile,v2
uci,2,0.95,36,sex,,0.25,0.46311962604522705,identity_rule_no_band,v2
uci,2,0.95,36,slope,,0.4722222222222222,0.42557159066200256,identity_rule_no_band,v2
uci,3,0.95,36,age,15.912581443786621,,7.168400287628174,conformal_quantile,v2
uci,3,0.95,36,cholesterol,74.01298522949219,,39.14697265625,conformal_quantile,v2
uci,3,0.95,36,exercise_angina,,0.2777777777777778,0.3771299123764038,identity_rule_no_band,v2
uci,3,0.95,36,fasting_blood_sugar,,0.05555555555555555,0.16536837816238403,identity_rule_no_band,v2
uci,3,0.95,36,max_heart_rate,37.921241760253906,,15.52779483795166,conformal_quantile,v2
uci,3,0.95,36,oldpeak,1.8237266540527344,,0.8293718099594116,conformal_quantile,v2
uci,3,0.95,36,resting_bp,28.628459930419922,,12.72089958190918,conformal_quantile,v2
uci,3,0.95,36,sex,,0.3611111111111111,0.4920761287212372,identity_rule_no_band,v2
uci,3,0.95,36,slope,,0.4166666666666667,0.44046416878700256,identity_rule_no_band,v2
uci,4,0.95,36,age,13.002796173095703,,6.17065954208374,conformal_quantile,v2
uci,4,0.95,36,cholesterol,86.31146240234375,,38.650447845458984,conformal_quantile,v2
uci,4,0.95,36,exercise_angina,,0.4166666666666667,0.4236863851547241,identity_rule_no_band,v2
uci,4,0.95,36,fasting_blood_sugar,,0.19444444444444445,0.26161444187164307,identity_rule_no_band,v2
uci,4,0.95,36,max_heart_rate,22.50469398498535,,9.78611946105957,conformal_quantile,v2
uci,4,0.95,36,oldpeak,2.0673227310180664,,0.787004292011261,conformal_quantile,v2
uci,4,0.95,36,resting_bp,41.20158386230469,,17.499069213867188,conformal_quantile,v2
uci,4,0.95,36,sex,,0.3611111111111111,0.4809509813785553,identity_rule_no_band,v2
uci,4,0.95,36,slope,,0.5,0.5037240982055664,identity_rule_no_band,v2
