dataset,seed,decoder,cell,tau_level,patient_idx,prune_mode,verify_mode,metric,repair_enabled,n_edges_pruned,n_edges_total,prune_seconds,graph_build_seconds,decode_seconds,success,abstained,abstain_stage,repair_status,n_steps_repaired,n_repair_attempts,repair_failure_reason,path,path_len,path_cost,decoded_cvr_hop,decoded_cvr_endpoint,viol_immutable,viol_non_decreasing,viol_age_horizon,viol_directional,kde,effort,latency_sec,repair_trigger_immutable,repair_trigger_non_decreasing,repair_trigger_age_horizon,repair_trigger_directional
uci,0,v3,old_latent_pruning,0.95,0,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,True,False,,not_attempted,0.0,0.0,,"[201, 79]",2.0,0.1629544049501419,True,True,False,True,False,False,-7.04908935136371,0.42521676421165466,0.0020315840374678373,,,,
uci,0,v3,old_latent_pruning,0.95,1,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0020318329334259033,,,,
uci,0,v3,old_latent_pruning,0.95,4,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0019779999274760485,,,,
uci,0,v3,old_latent_pruning,0.95,6,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,True,False,,not_attempted,0.0,0.0,,"[201, 9]",2.0,0.48142576217651367,True,True,False,True,False,False,-7.4306622331723915,1.3207266330718994,0.0019888340029865503,,,,
uci,0,v3,old_latent_pruning,0.95,7,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,True,False,,not_attempted,0.0,0.0,,"[201, 89]",2.0,0.8389263153076172,True,True,False,False,True,True,-7.1116568123785155,1.6464966535568237,0.0020548750180751085,,,,
uci,0,v3,old_latent_pruning,0.95,8,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0020050409948453307,,,,
uci,0,v3,old_latent_pruning,0.95,9,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0020682920003309846,,,,
uci,0,v3,old_latent_pruning,0.95,11,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.00195162498857826,,,,
uci,0,v3,old_latent_pruning,0.95,14,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0020109169417992234,,,,
uci,0,v3,old_latent_pruning,0.95,16,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.001955375075340271,,,,
uci,0,v3,old_latent_pruning,0.95,20,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.001896957983262837,,,,
uci,0,v3,old_latent_pruning,0.95,26,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,False,True,search,,,,,,,,,,,,,,,,0.0018983340123668313,,,,
uci,0,v3,old_latent_pruning,0.95,30,raw,raw,riemannian,False,7867,8040,0.0019561670487746596,0.062338000047020614,0.0005873750196769834,True,False,,not_attempted,0.0,0.0,,"[201, 98]",2.0,0.024556057527661324,False,False,False,False,False,False,-7.61401312833582,0.07081849128007889,0.0019438749877735972,,,,
