success,real_cvr_hop,real_cvr_endpoint,latency_sec,dataset,seed,patient_idx
True,True,True,0.00040508294478058815,uci,0,0
True,True,True,0.0002766670659184456,uci,0,1
True,True,True,0.00028000003658235073,uci,0,4
True,True,True,0.00025058293249458075,uci,0,6
True,True,True,0.00024279195349663496,uci,0,7
True,True,True,0.00024691701401025057,uci,0,8
True,True,True,0.00024687498807907104,uci,0,9
True,True,True,0.0002591250231489539,uci,0,11
True,True,True,0.0002330410061404109,uci,0,14
True,True,True,0.00023283297196030617,uci,0,16
True,True,True,0.00023695803247392178,uci,0,20
True,False,False,0.00023033400066196918,uci,0,24
True,True,True,0.0002269999822601676,uci,0,28
True,True,True,0.00023158302064985037,uci,0,30
True,True,True,0.00023862498346716166,uci,0,32
True,True,True,0.0002465830184519291,uci,0,34
True,True,True,0.0002307909308001399,uci,0,38
True,True,True,0.00022899999748915434,uci,0,39
True,True,True,0.00022812490351498127,uci,0,44
True,True,True,0.00022775004617869854,uci,0,45
True,True,True,0.00022825004998594522,uci,0,50
True,True,True,0.00024191697593778372,uci,0,52
True,True,True,0.00022770802024751902,uci,0,53
True,True,True,0.00022704096045345068,uci,0,55
True,True,True,0.00022587506100535393,uci,0,57
True,True,True,0.00030229194089770317,uci,1,6
True,True,True,0.0002613330725580454,uci,1,10
True,True,True,0.00024754100013524294,uci,1,15
True,True,True,0.0002745420206338167,uci,1,16
True,False,False,0.00023916701320558786,uci,1,19
True,True,True,0.00023999996483325958,uci,1,21
True,True,True,0.0002523750299587846,uci,1,22
True,True,True,0.0002400000812485814,uci,1,26
True,True,True,0.000254084006883204,uci,1,29
True,True,True,0.00023195799440145493,uci,1,32
True,True,True,0.0002311250427737832,uci,1,33
True,False,False,0.0002359169302508235,uci,1,39
True,True,True,0.0002317089820280671,uci,1,40
True,True,True,0.00026175007224082947,uci,1,42
True,True,True,0.00023241702001541853,uci,1,45
True,True,True,0.00023179198615252972,uci,1,52
True,True,True,0.000253707985393703,uci,1,54
True,True,True,0.00023254193365573883,uci,1,55
True,True,True,0.0002324159722775221,uci,1,56
True,True,True,0.00023362506181001663,uci,1,59
True,True,True,0.00028129108250141144,uci,2,4
True,True,True,0.0002559999702498317,uci,2,7
True,True,True,0.00024524994660168886,uci,2,8
True,True,True,0.00023820798378437757,uci,2,13
True,True,True,0.000263832975178957,uci,2,14
True,True,True,0.00023716699797660112,uci,2,17
True,True,True,0.00023862498346716166,uci,2,25
True,True,True,0.00023375009186565876,uci,2,26
True,True,True,0.00023262505419552326,uci,2,30
True,True,True,0.0002345839748159051,uci,2,32
True,True,True,0.00023266696371138096,uci,2,35
True,True,True,0.0002486670855432749,uci,2,38
True,True,True,0.0002313329605385661,uci,2,40
True,True,True,0.00023324997164309025,uci,2,42
True,True,True,0.0002312499564141035,uci,2,43
True,True,True,0.0002304170047864318,uci,2,45
True,True,True,0.00023279106244444847,uci,2,49
True,True,True,0.0002327921101823449,uci,2,50
True,True,False,0.00023829098790884018,uci,2,51
True,True,True,0.00023283297196030617,uci,2,53
True,True,True,0.00022966705728322268,uci,2,55
True,True,True,0.0002306249225512147,uci,2,56
True,True,True,0.00023079197853803635,uci,2,59
True,True,True,0.0002975830575451255,uci,3,7
True,True,True,0.0002584171015769243,uci,3,10
True,True,False,0.0002449579769745469,uci,3,12
True,True,False,0.00023837503977119923,uci,3,13
True,True,True,0.0002364999381825328,uci,3,16
True,True,True,0.0002359169302508235,uci,3,18
True,True,True,0.00023562496062368155,uci,3,20
True,True,True,0.0003390839556232095,uci,3,22
True,True,True,0.0002897090744227171,uci,3,23
True,True,True,0.0002603749744594097,uci,3,25
True,True,True,0.0002620000159367919,uci,3,26
True,True,True,0.0002599159488454461,uci,3,30
True,True,True,0.00023795897141098976,uci,3,33
True,True,True,0.00023850006982684135,uci,3,35
True,True,True,0.00023437500931322575,uci,3,39
True,True,True,0.00023670797236263752,uci,3,40
True,True,True,0.00025320902932435274,uci,3,41
True,True,True,0.0002337079495191574,uci,3,45
True,True,True,0.00023341691121459007,uci,3,47
True,True,True,0.00023183401208370924,uci,3,48
True,True,True,0.00023404101375490427,uci,3,52
True,True,True,0.0002560000866651535,uci,3,56
True,True,True,0.0002887090668082237,uci,4,3
True,True,True,0.00025529100093990564,uci,4,4
True,True,True,0.00024391699116677046,uci,4,5
True,True,True,0.00024095794651657343,uci,4,11
True,True,True,0.00023545802105218172,uci,4,14
True,True,True,0.00023308303207159042,uci,4,17
True,True,True,0.0002670829417183995,uci,4,19
True,True,True,0.00024341698735952377,uci,4,20
True,True,True,0.00023295904975384474,uci,4,23
True,True,True,0.00023270794190466404,uci,4,27
True,True,True,0.000230959034524858,uci,4,32
True,True,True,0.00023345800582319498,uci,4,33
True,True,True,0.00023204204626381397,uci,4,34
True,True,True,0.00024999992456287146,uci,4,36
True,False,False,0.0002313329605385661,uci,4,37
True,True,True,0.00024262501392513514,uci,4,38
True,True,True,0.00023141701240092516,uci,4,40
True,True,True,0.00023116706870496273,uci,4,42
True,True,True,0.00023062503896653652,uci,4,44
True,True,True,0.0002365419641137123,uci,4,45
True,True,True,0.0002531249774619937,uci,4,57
True,True,True,0.00023033295292407274,uci,4,58
True,True,True,0.0002335419412702322,uci,4,59
True,True,True,0.0022414580453187227,nhanes_real,0,1
True,True,True,0.0019692500354722142,nhanes_real,0,2
True,True,True,0.001884666969999671,nhanes_real,0,5
True,True,True,0.0018054170068353415,nhanes_real,0,6
True,True,True,0.0018093340331688523,nhanes_real,0,7
True,True,True,0.0018071250524371862,nhanes_real,0,8
True,True,True,0.00178304105065763,nhanes_real,0,9
True,True,True,0.0018197500612586737,nhanes_real,0,11
True,True,True,0.0017842089291661978,nhanes_real,0,12
True,True,True,0.001789415953680873,nhanes_real,0,13
True,True,True,0.0018226249376311898,nhanes_real,0,14
True,True,True,0.0017845419934019446,nhanes_real,0,17
True,True,True,0.0018201250350102782,nhanes_real,0,21
True,True,True,0.0018055839464068413,nhanes_real,0,22
True,True,True,0.0017364580417051911,nhanes_real,0,23
True,True,True,0.00179854198358953,nhanes_real,0,26
True,True,True,0.001781583996489644,nhanes_real,0,30
True,True,True,0.001792415976524353,nhanes_real,0,31
True,True,True,0.0017638340359553695,nhanes_real,0,38
True,True,True,0.0017907919827848673,nhanes_real,0,39
True,True,True,0.0017757080495357513,nhanes_real,0,41
True,True,True,0.0019073330331593752,nhanes_real,0,42
True,True,True,0.0018195419106632471,nhanes_real,0,45
True,True,True,0.0019136249320581555,nhanes_real,0,47
True,True,True,0.0017605419270694256,nhanes_real,0,51
True,True,True,0.0017710000975057483,nhanes_real,0,53
True,True,True,0.001825417042709887,nhanes_real,0,54
True,True,True,0.0018069589277729392,nhanes_real,0,56
True,True,True,0.0017850419972091913,nhanes_real,0,60
True,True,True,0.0018112920224666595,nhanes_real,0,61
True,True,True,0.0018077499698847532,nhanes_real,0,62
True,True,True,0.001795999938622117,nhanes_real,0,63
True,True,True,0.00180154200643301,nhanes_real,0,64
True,True,True,0.0018188339890912175,nhanes_real,0,65
True,True,True,0.00170729192905128,nhanes_real,0,67
True,True,True,0.0018039169954136014,nhanes_real,0,68
True,True,True,0.0017528749303892255,nhanes_real,0,70
True,True,True,0.0017509169410914183,nhanes_real,0,72
True,True,True,0.0017476669745519757,nhanes_real,0,74
True,True,True,0.0017789999255910516,nhanes_real,0,76
True,True,True,0.0018191669369116426,nhanes_real,0,78
True,True,True,0.001789041911251843,nhanes_real,0,79
True,True,True,0.0017817079788073897,nhanes_real,0,80
True,True,True,0.0017979999538511038,nhanes_real,0,83
True,True,True,0.001790667069144547,nhanes_real,0,85
True,True,True,0.0017398340860381722,nhanes_real,0,87
True,True,True,0.0017445000121369958,nhanes_real,0,88
True,True,True,0.001733834040351212,nhanes_real,0,90
