success,budget,n_features_changed,latency_sec,effort,admissible,dataset,seed,patient_idx
True,2.0,2.0,0.011491374927572906,5.550000190734863,True,uci,0,0
True,3.0,3.0,0.0017703749472275376,7.800000190734863,True,uci,0,1
True,3.0,3.0,0.0016151249874383211,5.925000190734863,True,uci,0,4
False,,,0.001876708003692329,,,uci,0,6
True,2.0,2.0,0.0009247499983757734,6.0,True,uci,0,7
True,3.0,3.0,0.0016057910397648811,7.050000190734863,True,uci,0,8
True,1.0,1.0,0.0006857500411570072,3.75,True,uci,0,9
True,2.0,2.0,0.0009025839390233159,4.125,True,uci,0,11
True,3.0,3.0,0.0015776250511407852,7.800000190734863,True,uci,0,14
True,3.0,3.0,0.0015863330336287618,7.800000190734863,True,uci,0,16
True,1.0,1.0,0.0007183330599218607,2.5,True,uci,0,20
True,1.0,1.0,0.0006797920214012265,3.75,True,uci,0,24
True,1.0,1.0,0.0006737079238519073,2.499999761581421,True,uci,0,28
True,1.0,1.0,0.000659167068079114,3.75,True,uci,0,30
True,2.0,2.0,0.0008829160360619426,4.875,True,uci,0,32
True,2.0,2.0,0.0008640410378575325,5.550000190734863,True,uci,0,34
False,,,0.0018667919794097543,,,uci,0,38
True,1.0,1.0,0.0006559999892488122,2.5,True,uci,0,39
True,1.0,1.0,0.0006505830679088831,3.75,True,uci,0,44
True,1.0,1.0,0.0006498340517282486,2.5,True,uci,0,45
True,1.0,1.0,0.0006374999647960067,3.75,True,uci,0,50
True,2.0,2.0,0.0008553749648854136,6.0,True,uci,0,52
False,,,0.0018567499937489629,,,uci,0,53
True,4.0,4.0,0.0024601659970358014,10.050000190734863,True,uci,0,55
True,2.0,2.0,0.0008815419860184193,6.0,True,uci,0,57
True,1.0,1.0,0.0009320409735664725,1.8000000715255737,True,uci,1,6
True,3.0,3.0,0.0018486670451238751,7.050000190734863,True,uci,1,10
True,2.0,2.0,0.0009752910118550062,6.0,True,uci,1,15
True,2.0,2.0,0.0009332080371677876,2.9250001907348633,True,uci,1,16
False,,,0.0019538330379873514,,,uci,1,19
True,2.0,2.0,0.0009169160621240735,4.050000190734863,True,uci,1,21
False,,,0.0019342090236023068,,,uci,1,22
True,2.0,2.0,0.0009097909787669778,4.800000190734863,True,uci,1,26
True,3.0,3.0,0.0016235419316217303,7.050000190734863,True,uci,1,29
True,3.0,3.0,0.0016032500425353646,8.550000190734863,True,uci,1,32
True,3.0,3.0,0.001568000065162778,7.050000190734863,True,uci,1,33
True,3.0,3.0,0.001581125077791512,7.050000190734863,True,uci,1,39
True,1.0,1.0,0.0006817500106990337,1.8000000715255737,True,uci,1,40
False,,,0.0019262500572949648,,,uci,1,42
True,1.0,1.0,0.0006745830178260803,1.8000000715255737,True,uci,1,45
True,2.0,2.0,0.0009057499701157212,3.3000001907348633,True,uci,1,52
False,,,0.002195167005993426,,,uci,1,54
True,3.0,3.0,0.002232541097328067,7.050000190734863,True,uci,1,55
True,3.0,3.0,0.002353374962694943,7.800000190734863,True,uci,1,56
True,1.0,1.0,0.0009291659807786345,1.8000000715255737,True,uci,1,59
True,3.0,3.0,0.0018375000217929482,7.800000190734863,True,uci,2,4
True,2.0,2.0,0.0009753749473020434,4.050000190734863,True,uci,2,7
False,,,0.0019398749573156238,,,uci,2,8
False,,,0.0019262500572949648,,,uci,2,13
False,,,0.0019102500518783927,,,uci,2,14
False,,,0.0019024580251425505,,,uci,2,17
True,2.0,2.0,0.0009702920215204358,3.6750001907348633,True,uci,2,25
False,,,0.0019301670836284757,,,uci,2,26
False,,,0.0019081250065937638,,,uci,2,30
True,3.0,3.0,0.001602624892257154,7.050000190734863,True,uci,2,32
True,2.0,2.0,0.0009687909623607993,3.674999952316284,True,uci,2,35
True,1.0,1.0,0.000722041935659945,1.8000000715255737,True,uci,2,38
False,,,0.0019857919542118907,,,uci,2,40
False,,,0.0019554580794647336,,,uci,2,42
False,,,0.0019325839821249247,,,uci,2,43
False,,,0.0019370000809431076,,,uci,2,45
True,2.0,2.0,0.000995374983176589,5.549999713897705,True,uci,2,49
True,2.0,2.0,0.0010160000529140234,5.549999713897705,True,uci,2,50
True,2.0,2.0,0.0009562079794704914,5.549999713897705,True,uci,2,51
True,2.0,2.0,0.0009180830093100667,3.674999952316284,True,uci,2,53
True,2.0,2.0,0.0008995409589260817,3.674999952316284,True,uci,2,55
True,2.0,2.0,0.0008907499723136425,4.050000190734863,True,uci,2,56
True,2.0,2.0,0.0008951659547165036,4.050000190734863,True,uci,2,59
