dataset,seed,patient_idx,n_valid_targets_exhaustive,certified_infeasible,resolved_by_2k,resolved_by_synth,confirmed_blindspot,unresolved
uci,0,1,0,True,,,False,False
uci,0,4,0,True,,,False,False
uci,0,7,0,True,,,False,False
uci,0,8,0,True,,,False,False
uci,0,9,0,True,,,False,False
uci,0,11,0,True,,,False,False
uci,0,16,0,True,,,False,False
uci,0,20,0,True,,,False,False
uci,0,28,0,True,,,False,False
uci,0,32,0,True,,,False,False
uci,0,34,2,False,False,False,False,True
uci,0,39,2,False,False,False,False,True
uci,0,45,0,True,,,False,False
uci,0,50,0,True,,,False,False
uci,0,52,0,True,,,False,False
uci,0,55,0,True,,,False,False
uci,0,57,0,True,,,False,False
uci,1,15,1,False,False,False,False,True
uci,1,16,0,True,,,False,False
uci,1,29,2,False,False,False,False,True
uci,1,32,0,True,,,False,False
uci,1,40,0,True,,,False,False
uci,1,42,0,True,,,False,False
uci,1,52,0,True,,,False,False
uci,1,54,0,True,,,False,False
uci,1,55,0,True,,,False,False
uci,2,8,0,True,,,False,False
uci,2,14,0,True,,,False,False
uci,2,17,0,True,,,False,False
uci,2,25,0,True,,,False,False
uci,2,26,1,False,False,False,False,True
uci,2,32,0,True,,,False,False
uci,2,35,0,True,,,False,False
uci,2,38,0,True,,,False,False
uci,2,42,0,True,,,False,False
uci,2,49,0,True,,,False,False
uci,2,55,0,True,,,False,False
uci,2,56,0,True,,,False,False
uci,3,10,0,True,,,False,False
uci,3,13,2,False,False,False,False,True
uci,3,18,0,True,,,False,False
uci,3,20,0,True,,,False,False
uci,3,22,0,True,,,False,False
uci,3,25,0,True,,,False,False
uci,3,33,0,True,,,False,False
uci,3,35,0,True,,,False,False
uci,3,39,0,True,,,False,False
uci,3,41,0,True,,,False,False
uci,3,45,0,True,,,False,False
uci,3,47,0,True,,,False,False
uci,3,48,0,True,,,False,False
uci,3,52,0,True,,,False,False
uci,4,4,3,False,False,False,False,True
uci,4,11,2,False,False,False,False,True
uci,4,14,0,True,,,False,False
uci,4,17,0,True,,,False,False
uci,4,19,0,True,,,False,False
uci,4,20,0,True,,,False,False
uci,4,23,0,True,,,False,False
uci,4,27,0,True,,,False,False
uci,4,32,0,True,,,False,False
uci,4,33,0,True,,,False,False
uci,4,34,0,True,,,False,False
uci,4,36,0,True,,,False,False
uci,4,38,0,True,,,False,False
uci,4,40,0,True,,,False,False
uci,4,42,0,True,,,False,False
uci,4,45,0,True,,,False,False
uci,4,57,0,True,,,False,False
uci,4,58,0,True,,,False,False
