dataset,seed,n_high_risk,n_low_risk_train,success_pct,real_cvr_pct,n_abstain,certified_infeasible_pct
uci,0,22,90,95.45454545454545,0.0,1,100.0
uci,1,23,114,95.65217391304348,0.0,1,100.0
uci,2,21,119,100.0,0.0,0,
uci,3,20,120,90.0,0.0,2,100.0
uci,4,19,127,100.0,0.0,0,
nhanes_real,0,379,1704,88.12664907651715,0.5988023952095808,45,100.0
nhanes_real,1,426,1692,89.67136150234742,0.7853403141361257,44,100.0
nhanes_real,2,403,1728,89.08188585607941,0.5571030640668524,44,100.0
nhanes_real,3,425,1693,85.6470588235294,1.098901098901099,61,100.0
nhanes_real,4,405,1811,91.11111111111111,0.8130081300813008,36,100.0
