dataset,label,seed,n_high_risk,n_low_risk_train,n_success,success_pct,real_cvr_pct,n_abstain,certified_infeasible_pct
uci,original,0,25,113,8,32.0,0.0,17,88.23529411764706
uci,original,1,20,117,11,55.0,0.0,9,77.77777777777777
uci,original,2,23,108,11,47.82608695652174,0.0,12,91.66666666666667
uci,original,3,22,118,8,36.36363636363637,0.0,14,92.85714285714286
uci,original,4,23,120,5,21.73913043478261,0.0,18,88.88888888888889
uci,age_stratified,0,25,60,8,32.0,0.0,17,88.23529411764706
uci,age_stratified,1,20,59,11,55.0,0.0,9,66.66666666666667
uci,age_stratified,2,23,60,11,47.82608695652174,0.0,12,83.33333333333333
uci,age_stratified,3,22,60,7,31.818181818181817,0.0,15,86.66666666666667
uci,age_stratified,4,23,60,6,26.08695652173913,0.0,17,64.70588235294117
nhanes_real,original,0,420,1715,156,37.142857142857146,0.0,264,99.62121212121212
nhanes_real,original,1,445,1805,144,32.359550561797754,0.0,301,99.66777408637874
nhanes_real,original,2,422,1824,169,40.04739336492891,0.0,253,98.02371541501977
nhanes_real,original,3,430,1813,162,37.674418604651166,0.0,268,97.76119402985074
nhanes_real,original,4,439,1796,181,41.23006833712984,0.0,258,97.67441860465117
nhanes_real,age_stratified,0,420,909,214,50.95238095238095,0.0,206,80.58252427184466
nhanes_real,age_stratified,1,445,909,200,44.943820224719104,0.0,245,70.61224489795919
nhanes_real,age_stratified,2,422,909,217,51.4218009478673,0.0,205,79.02439024390245
nhanes_real,age_stratified,3,430,909,218,50.69767441860465,0.0,212,80.66037735849056
nhanes_real,age_stratified,4,439,908,249,56.71981776765376,0.0,190,77.89473684210526
