method,patient_idx,success,latency_sec,real_cvr,kde,effort,dataset,seed
growing_spheres_legacy,0,True,0.0010547637939453125,True,-14.89076003767867,7.310741930443494,uci,0
dice_legacy,0,True,0.004350900650024414,True,-12.430131513709295,6.042044162750244,uci,0
growing_spheres_legacy,1,False,0.0013010501861572266,,,,uci,0
dice_legacy,1,True,0.005329132080078125,True,-9.270136393977634,9.83688735961914,uci,0
growing_spheres_legacy,4,True,0.0011301040649414062,True,-9.702378685035576,9.377342242801804,uci,0
dice_legacy,4,True,0.0037839412689208984,True,-8.417488589507773,7.756307601928711,uci,0
growing_spheres_legacy,6,False,0.0013349056243896484,,,,uci,0
dice_legacy,6,False,0.01453709602355957,,,,uci,0
growing_spheres_legacy,7,True,0.0007569789886474609,True,-8.753025557578628,7.404810171317461,uci,0
dice_legacy,7,True,0.0018711090087890625,True,-8.746366304389802,4.9652886390686035,uci,0
growing_spheres_legacy,8,True,0.001249074935913086,True,-15.759567726275652,10.968314998867967,uci,0
dice_legacy,8,True,0.0033750534057617188,True,-15.20613310331819,7.405582904815674,uci,0
growing_spheres_legacy,9,True,0.0007719993591308594,False,-14.700210950865097,7.524468406178078,uci,0
dice_legacy,9,True,0.0021119117736816406,True,-12.56582953411409,4.810154438018799,uci,0
growing_spheres_legacy,11,True,0.00080108642578125,True,-10.952458843245894,5.283156490309449,uci,0
dice_legacy,11,True,0.002093791961669922,True,-11.20490733289481,5.104288101196289,uci,0
growing_spheres_legacy,14,True,0.0011029243469238281,True,-10.820507164719348,8.249463922385381,uci,0
dice_legacy,14,True,0.0034551620483398438,True,-11.433968681121073,7.4191508293151855,uci,0
growing_spheres_legacy,16,True,0.0010790824890136719,True,-9.810653468309583,9.761017895043828,uci,0
dice_legacy,16,False,0.0144500732421875,,,,uci,0
growing_spheres_legacy,20,True,0.00042629241943359375,True,-7.875727142949529,3.2638668489599825,uci,0
dice_legacy,20,True,0.0011429786682128906,True,-7.715078065602942,2.964413642883301,uci,0
growing_spheres_legacy,24,True,0.0007579326629638672,True,-12.488151093875217,4.749612287335197,uci,0
dice_legacy,24,False,0.01402902603149414,,,,uci,0
growing_spheres_legacy,28,True,0.0005781650543212891,True,-15.644498195539843,3.921573538998574,uci,0
dice_legacy,28,True,0.0013289451599121094,True,-16.01440708146748,3.193662643432617,uci,0
growing_spheres_legacy,30,True,0.0007188320159912109,True,-11.179834648650314,6.334468949058721,uci,0
dice_legacy,30,True,0.0019137859344482422,True,-9.841737238498547,5.108845233917236,uci,0
growing_spheres_legacy,32,True,0.0007772445678710938,True,-13.93299671562271,4.240889275952185,uci,0
dice_legacy,32,True,0.0025827884674072266,True,-15.58444987408637,5.416179656982422,uci,0
growing_spheres_legacy,6,True,0.0006670951843261719,True,-10.288363202903026,4.157812034115023,uci,1
dice_legacy,6,True,0.0030677318572998047,True,-9.71338405896509,4.233232021331787,uci,1
growing_spheres_legacy,10,True,0.0011219978332519531,True,-11.47262881038592,10.026201967298746,uci,1
dice_legacy,10,False,0.014721870422363281,,,,uci,1
growing_spheres_legacy,15,True,0.0008208751678466797,True,-8.320448792360786,6.350544821112751,uci,1
dice_legacy,15,True,0.002031087875366211,True,-8.296224273606526,4.3830060958862305,uci,1
growing_spheres_legacy,16,True,0.0007350444793701172,True,-11.602077328109903,5.047648532718706,uci,1
dice_legacy,16,False,0.014269113540649414,,,,uci,1
growing_spheres_legacy,19,False,0.0012850761413574219,,,,uci,1
dice_legacy,19,False,0.014154434204101562,,,,uci,1
growing_spheres_legacy,21,True,0.0006880760192871094,True,-11.930020464231436,6.857923697023441,uci,1
dice_legacy,21,False,0.01470327377319336,,,,uci,1
growing_spheres_legacy,22,False,0.0012629032135009766,,,,uci,1
dice_legacy,22,False,0.014323949813842773,,,,uci,1
growing_spheres_legacy,26,True,0.0009348392486572266,True,-14.241267385079919,8.24123795669585,uci,1
dice_legacy,26,False,0.014253854751586914,,,,uci,1
growing_spheres_legacy,29,True,0.0011439323425292969,True,-10.790710848463492,7.521167171272039,uci,1
dice_legacy,29,False,0.014999151229858398,,,,uci,1
growing_spheres_legacy,32,True,0.0011420249938964844,True,-12.15582289278871,11.16546431669045,uci,1
dice_legacy,32,False,0.014806985855102539,,,,uci,1
growing_spheres_legacy,33,True,0.0011830329895019531,True,-10.277154807839729,11.688361415399081,uci,1
dice_legacy,33,False,0.014661073684692383,,,,uci,1
