dataset,threshold_label,seed,high_thr,low_thr,n_high_risk,n_low_risk_train,n_success,success_pct,real_cvr_pct,n_abstain,certified_infeasible_pct,confirmed_blindspot_pct,unresolved_pct
uci,original,0,0.55,0.45,25,113,8,32.0,0.0,17,88.23529411764706,0.0,11.764705882352942
uci,original,1,0.55,0.45,20,117,11,55.0,0.0,9,77.77777777777777,0.0,22.22222222222222
uci,original,2,0.55,0.45,23,108,11,47.82608695652174,0.0,12,91.66666666666667,0.0,8.333333333333334
uci,original,3,0.55,0.45,22,118,8,36.36363636363637,0.0,14,92.85714285714286,0.0,7.142857142857143
uci,original,4,0.55,0.45,23,120,5,21.73913043478261,0.0,18,88.88888888888889,0.0,11.11111111111111
uci,recalibrated,0,0.295,0.195,49,13,2,4.081632653061225,0.0,47,97.87234042553192,0.0,2.127659574468085
uci,recalibrated,1,0.295,0.195,51,1,0,0.0,,51,100.0,0.0,0.0
uci,recalibrated,2,0.295,0.195,59,0,0,0.0,,59,100.0,0.0,0.0
uci,recalibrated,3,0.295,0.195,49,1,0,0.0,,49,100.0,0.0,0.0
uci,recalibrated,4,0.295,0.195,44,7,3,6.818181818181818,0.0,41,100.0,0.0,0.0
nhanes_real,original,0,0.55,0.45,420,1715,156,37.142857142857146,0.0,264,99.62121212121212,0.0,0.3787878787878788
nhanes_real,original,1,0.55,0.45,445,1805,144,32.359550561797754,0.0,301,99.66777408637874,0.0,0.33222591362126247
nhanes_real,original,2,0.55,0.45,422,1824,169,40.04739336492891,0.0,253,98.02371541501977,0.0,1.976284584980237
nhanes_real,original,3,0.55,0.45,430,1813,162,37.674418604651166,0.0,268,97.76119402985074,0.0,2.2388059701492535
nhanes_real,original,4,0.55,0.45,439,1796,181,41.23006833712984,0.0,258,97.67441860465117,0.0,2.3255813953488373
nhanes_real,recalibrated,0,0.125,0.025,582,605,128,21.993127147766323,0.0,454,99.33920704845815,0.0,0.6607929515418502
nhanes_real,recalibrated,1,0.125,0.025,576,665,64,11.11111111111111,0.0,512,99.8046875,0.0,0.1953125
nhanes_real,recalibrated,2,0.125,0.025,576,533,98,17.01388888888889,0.0,478,98.9539748953975,0.0,1.0460251046025104
nhanes_real,recalibrated,3,0.125,0.025,569,499,106,18.629173989455186,0.0,463,99.78401727861771,0.0,0.2159827213822894
nhanes_real,recalibrated,4,0.125,0.025,580,503,88,15.172413793103448,0.0,492,99.59349593495935,0.0,0.4065040650406504
