dataset,seed,n_high_risk,stage1_success_pct,n_stage2_attempted,n_stage2_success,stage2_success_pct_of_attempted,stage2_cvr_pct,combined_success_pct
uci,0,25,32.0,15,3,20.0,0.0,44.0
uci,1,20,55.0,6,0,0.0,0.0,55.0
uci,2,23,47.82608695652174,10,0,0.0,0.0,47.82608695652174
uci,3,22,31.818181818181817,13,0,0.0,0.0,31.818181818181817
uci,4,23,26.08695652173913,11,0,0.0,0.0,26.08695652173913
nhanes_real,0,420,50.95238095238095,166,14,8.433734939759036,0.0,54.285714285714285
nhanes_real,1,445,44.943820224719104,173,23,13.294797687861271,0.0,50.1123595505618
nhanes_real,2,422,51.4218009478673,162,20,12.345679012345679,0.0,56.161137440758296
nhanes_real,3,430,50.69767441860465,171,15,8.771929824561404,0.0,54.18604651162791
nhanes_real,4,439,56.71981776765376,148,18,12.162162162162161,0.0,60.82004555808656
